trial,pr_auc,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,n_features,goal
0,0.050485879023559596,0.030710573677773714,10,15,0.7993292420985183,0.5780093202212182,2.5348407664333426e-07,3.3323645788192616e-08,0.3426417745118369,1666.0,0.04141656662665066,0.5422486001833148,0.046702341431839815,0.08403864982767123,0.21416763517918005,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.04789076829019768,0.029940119760479042,0.07246376811594203,0.7229020220428708,0.04789076829019768,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.16405135520684735,1.2189778906268158,0.04141656662665066,ok,xgboost_hpo_trial_0,val,0,85,below_strong
1,0.05957255630088453,0.06054365855469246,8,1,0.9849549260809971,0.9162213204002109,8.148018307012941e-07,4.329370014459266e-07,3.939402261362697e-07,1666.0,0.04141656662665066,0.5825596907244561,0.04678845807178598,0.08523794633894263,0.21443356467225458,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.08406358263704912,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.12217240676584472,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.1908498063990218,1.4383750550329513,0.04141656662665066,ok,xgboost_hpo_trial_1,val,0,85,below_strong
2,0.0522479196257432,0.024878734419814436,7,9,0.645614570099021,0.8059264473611898,1.8007140198129195e-07,4.258943089524393e-06,1.5380508198654967e-05,1666.0,0.04141656662665066,0.5742742279455137,0.046522652985410064,0.08276587425052476,0.21335104160645138,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.03592814371257485,0.08695652173913043,0.867482426451445,0.0708171999184838,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.16405135520684735,1.2615222332824374,0.04141656662665066,ok,xgboost_hpo_trial_2,val,0,85,below_strong
3,0.09148080507413388,0.03920673972242137,9,4,0.7571172192068059,0.7962072844310213,2.6185068507773707e-08,0.0029369981104377003,3.043576603688654e-07,1666.0,0.04141656662665066,0.7218652727487227,0.044709583882972345,0.03343005330766644,0.17700200994902845,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.10485021398002853,0.09580838323353294,0.2318840579710145,2.3132864705371867,0.21133075198695742,0.09880239520958084,0.4782608695652174,2.385576672741474,0.46464234766659873,2.2087974094711167,0.04141656662665066,ok,xgboost_hpo_trial_3,val,385,85,below_strong
4,0.0378990957604861,0.012151617026673379,10,20,0.9041986740582306,0.6523068845866853,7.569183361880229e-08,0.014391207615728067,6.743313339480333e-05,1666.0,0.04141656662665066,0.44833156371094357,0.04666965639614705,0.0833225512758595,0.21403935887632364,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.04075810067250866,0.011976047904191617,0.028985507246376812,0.28916080881714834,0.04075810067250866,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.1980843692683921,0.9150709208256499,0.04141656662665066,ok,xgboost_hpo_trial_4,val,0,85,below_strong
5,0.038890182999565426,0.014413697528610409,6,1,0.954660201039391,0.6293899908000085,0.009176996354542699,6.388511557344611e-06,0.0003342382251192237,1666.0,0.04141656662665066,0.45426206746345044,0.04682510875026991,0.08415164811914566,0.2147393239273972,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.005988023952095809,0.014492753623188406,0.14458040440857417,0.02037905033625433,0.03592814371257485,0.17391304347826086,0.867482426451445,0.17006317505604238,0.9390006503953044,0.04141656662665066,ok,xgboost_hpo_trial_5,val,0,85,below_strong
6,0.0378990957604861,0.05143828405076928,4,20,0.8875664116805573,0.9697494707820946,1.1309571585271483,0.002404915432737351,1.045577714840101,1666.0,0.04141656662665066,0.4483315637109436,0.04684483971902307,0.0840304529278719,0.2148104233864318,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.04075810067250866,0.011976047904191617,0.028985507246376812,0.28916080881714834,0.04075810067250866,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.1980843692683921,0.9150709208256499,0.04141656662665066,ok,xgboost_hpo_trial_6,val,0,85,below_strong
7,0.05160370897834889,0.01303561122512888,4,1,0.6626651653816322,0.6943386448447411,2.7678419414850017e-06,0.28749982347407854,1.26878047820638e-05,1666.0,0.04141656662665066,0.589198043432886,0.046448319767443576,0.08229660577311809,0.2130232480565667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.19298960668432852,1.2459678138830328,0.04141656662665066,ok,xgboost_hpo_trial_7,val,0,85,below_strong
8,0.034552228506333764,0.023200867504756827,7,3,0.9010984903770198,0.5372753218398854,7.620481786158549,0.08916674715636537,5.35330210833913e-07,1666.0,0.04141656662665066,0.31556450954234844,0.04673201952571028,0.08320266364806411,0.21431944334995767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014970059880239521,0.07246376811594203,0.3614510110214354,0.0729570002037905,0.8342610535007544,0.04141656662665066,ok,xgboost_hpo_trial_8,val,0,85,below_strong
9,0.03462666073597173,0.010166803740022877,9,15,0.8645035840204937,0.8856351733429728,4.638759594322625e-08,1.683416412018213e-05,1.0184541290289273e-07,1666.0,0.04141656662665066,0.3874973909413484,0.04663779232154823,0.08308158653462921,0.21389493434780846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.014492753623188406,0.07229020220428709,0.015284287752190748,0.8360582142917233,0.04141656662665066,ok,xgboost_hpo_trial_9,val,0,85,below_strong
10,0.09155171889854202,0.17351647826835903,3,7,0.5089809378074098,0.7604884252536485,0.00011924569957107602,4.3444691085504115,0.010047780680509596,1666.0,0.04141656662665066,0.7437722904358717,0.047635227946174696,0.08836751643876856,0.20825120747745401,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.0708171999184838,0.10778443113772455,0.2608695652173913,2.602447279354335,0.21550845730588955,0.09580838323353294,0.463768115942029,2.3132864705371867,0.4027919298960668,2.2105096186227686,0.04141656662665066,ok,xgboost_hpo_trial_10,val,16,85,below_strong
11,0.06680179392511044,0.17061837680423556,3,7,0.5087834179248012,0.7600851722370928,8.113466471626518e-05,7.587120682342036,0.00667639008391242,1666.0,0.04141656662665066,0.6746163549408765,0.044540637962936294,0.06990990246615919,0.1994513639240778,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.02394538414509884,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.08151620134501732,0.0748502994011976,0.36231884057971014,1.8072550551071769,0.29101283880171186,1.6129244736120871,0.04141656662665066,ok,xgboost_hpo_trial_11,val,16,85,below_strong
12,0.05082126706669605,0.19429097590463582,5,6,0.5033562537483753,0.8018689453969954,0.00012627073584330493,0.00028877806777259814,0.01141995526715151,1666.0,0.04141656662665066,0.5865436098481756,0.047816798227811264,0.09011195311579956,0.21824717411838374,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.036682290605257795,0.029940119760479042,0.07246376811594203,0.7229020220428708,0.04177705318932138,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.16405135520684735,1.227075810624864,0.04141656662665066,ok,xgboost_hpo_trial_12,val,0,85,below_strong
13,0.07086176630905411,0.1009941676982779,3,10,0.7320579645128432,0.7357961861920648,0.008865465164105284,9.868745464853815,1.3443083254590903e-08,1666.0,0.04141656662665066,0.6583902788743387,0.04871834029230229,0.08688323986956945,0.21343567720959178,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.03260648053800693,0.10179640718562874,0.2463768115942029,2.457866874945761,0.18392092928469533,0.08083832335329341,0.391304347826087,1.9518354595157512,0.3235174240880375,1.7109522126215095,0.04141656662665066,ok,xgboost_hpo_trial_13,val,57,85,below_strong
14,0.07534036101023579,0.10521802898030812,6,5,0.5879160528324553,0.8524679408076283,2.289495137497283e-05,0.0002739505559168594,0.02634482623525199,1666.0,0.04141656662665066,0.6924577786247765,0.051112716172499774,0.08622600971793785,0.21302439535887396,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.04789076829019768,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.15325045852863256,0.08383233532934131,0.4057971014492754,2.024125661720038,0.3407377216221724,1.8190875571456933,0.04141656662665066,ok,xgboost_hpo_trial_14,val,36,85,below_strong
15,0.05711254798126006,0.05105127472542272,8,10,0.7627892685294101,0.7261631564388042,0.002680605121043069,0.4315150455053444,0.0006640663385597134,1666.0,0.04141656662665066,0.5862395977965933,0.046945736354450346,0.08584683845971239,0.21522627610545816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014970059880239521,0.07246376811594203,0.3614510110214354,0.10046871815773385,1.3789783324170908,0.04141656662665066,ok,xgboost_hpo_trial_15,val,0,85,below_strong
16,0.048611071019108845,0.10759527323148814,5,13,0.585324880380653,0.8186292214333911,0.00102772190605619,0.008985660895673523,3.0432531044732537e-06,1666.0,0.04141656662665066,0.573797791148258,0.04669214117605669,0.08408404395681898,0.21393262307154637,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.04075810067250866,0.029940119760479042,0.07246376811594203,0.7229020220428708,0.05767271245159976,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.163541878948441,1.173710787215005,0.04141656662665066,ok,xgboost_hpo_trial_16,val,0,85,below_strong
17,0.04649359852676711,0.03963201245202283,9,4,0.6930194853272265,0.9821265326466516,0.15747714798317716,1.264542793853806,2.7170335428217203,1666.0,0.04141656662665066,0.545774232483007,0.04662056087345456,0.08319293715659024,0.21377541167919417,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.014672916242103118,0.029940119760479042,0.07246376811594203,0.7229020220428708,0.07071530466680252,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.18381903403301406,1.1225845673274495,0.04141656662665066,ok,xgboost_hpo_trial_17,val,0,85,below_strong
18,0.06856372815354543,0.07672484492340582,6,8,0.8132394567758081,0.6675193426858527,7.639371274654788e-06,0.001456146958918749,0.084828975938728,1666.0,0.04141656662665066,0.6614530868566969,0.05146601981046447,0.07650966219571033,0.21018807299498987,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.05298553087426126,0.08383233532934131,0.2028985507246377,2.024125661720038,0.19360097819441613,0.07784431137724551,0.37681159420289856,1.8795452573114642,0.35316894232728757,1.6554662478812565,0.04141656662665066,ok,xgboost_hpo_trial_18,val,129,85,below_strong
19,0.04661100817576859,0.13940127601485916,4,12,0.5813296176147104,0.9095336881172504,1.8801119380336576e-08,0.03387557668886888,0.0006129122939177705,1666.0,0.04141656662665066,0.5562286170627899,0.04692710086351915,0.08527479831482612,0.21481420574829432,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.09374363154676991,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.09374363154676991,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.1844304055431017,1.1254194147946446,0.04141656662665066,ok,xgboost_hpo_trial_19,val,0,85,below_strong
20,0.04820794895860531,0.017888598528154557,8,3,0.6301352460527547,0.6091330191487015,0.07734642171864294,0.00010396761370918986,3.793731661141842e-08,1666.0,0.04141656662665066,0.5281778334376956,0.04648888012356886,0.082529489022522,0.21320008831775597,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.06317505604238842,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.08355410637864276,0.041916167664670656,0.2028985507246377,1.012062830860019,0.13704911351131038,1.1639774342758906,0.04141656662665066,ok,xgboost_hpo_trial_20,val,0,85,below_strong
21,0.07119103588709791,0.1185464139283584,6,5,0.5533425664672874,0.8720102589351933,5.424030215864488e-05,0.00041404546355720405,0.019049457359070356,1666.0,0.04141656662665066,0.6524416251486029,0.04890342522732793,0.05882755758733873,0.19990023516855102,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.11819849195027511,0.0658682634730539,0.15942028985507245,1.590384448494316,0.16863664153250457,0.0748502994011976,0.36231884057971014,1.8072550551071769,0.37038923986142247,1.7189024027232627,0.04141656662665066,ok,xgboost_hpo_trial_21,val,86,85,below_strong
22,0.04472318726222036,0.08048910156373232,5,5,0.5565757572232559,0.8444844943773037,7.3347488667629025e-06,5.807843560212382e-05,0.0031415099021819097,1666.0,0.04141656662665066,0.5408011398183188,0.046859378259546024,0.08450073008688272,0.21473704329566926,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.005094762584063582,0.041916167664670656,0.10144927536231885,1.012062830860019,0.05298553087426126,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.16405135520684735,1.0798381156356396,0.04141656662665066,ok,xgboost_hpo_trial_22,val,0,85,below_strong
23,0.048664882840800366,0.13921195211887624,7,7,0.599385095743378,0.784451017489347,0.000586866467956925,0.002745389657111776,0.06885689583771851,1666.0,0.04141656662665066,0.574487490130952,0.046806695282121266,0.08438164364246903,0.21404398341178804,0.0,0.0,0.0,0.0,0.041916167664670656,0.10144927536231885,1.012062830860019,0.046362339514978604,0.03592814371257485,0.17391304347826086,0.867482426451445,0.07438353372732831,1.1750100697503394,0.04141656662665066,ok,xgboost_hpo_trial_23,val,0,85,below_strong
24,0.05468272331158988,0.08081206106716153,9,3,0.6962592784579139,0.8489045929536294,1.2450903254031364e-05,7.275370704610173e-07,0.0908579754755098,1666.0,0.04141656662665066,0.6010953508843574,0.04862283489656728,0.03469809940670945,0.1995035377680969,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.043305481964540454,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.10851844304055432,0.059880239520958084,0.2898550724637681,1.4458040440857416,0.2720603219889953,1.3203103918421557,0.04141656662665066,ok,xgboost_hpo_trial_24,val,151,85,below_strong
