step,train_loss,train_mae,val_loss,val_mae
0.0,3.5936074303906587,0.6623440402604285,12.167778968811035,12.167778968811035
1.0,3.556946541315743,0.619710042717911,12.08415699005127,12.08415699005127
2.0,3.5546350137419287,0.590534028907617,12.105504035949707,12.105504035949707
3.0,3.55143868932057,0.5820879137941769,12.130879402160645,12.130879402160645
4.0,3.6010720479701246,0.6080199309757778,12.11056137084961,12.11056137084961
5.0,3.540128243909705,0.5909334836261613,12.140213966369629,12.140213966369629
6.0,3.543278357413198,0.6009612910094715,12.118392944335938,12.118392944335938
7.0,3.5288712477222797,0.6209604254081136,12.11033821105957,12.11033821105957
8.0,3.571293562029799,0.6115774462620417,12.112528800964355,12.112528800964355
9.0,3.6193358393031216,0.6270525462570644,12.124589920043945,12.124589920043945
10.0,3.605491103293995,0.6241310412685076,12.138534545898438,12.138534545898438
11.0,3.522035482783048,0.6146662093344188,12.14565658569336,12.14565658569336
12.0,3.5234904109189906,0.5993251211586452,12.123506546020508,12.123506546020508
13.0,3.605544043172683,0.6637779020127796,12.12694263458252,12.12694263458252
14.0,3.675278080494276,0.6323927612531752,12.11848258972168,12.11848258972168
15.0,3.5198887828737497,0.5980432196742013,12.127288818359375,12.127288818359375
16.0,3.5121958879753947,0.6012202334545907,12.12403678894043,12.12403678894043
