step,train_loss,val_loss,val_mae
0.0,3.5939981774850325,12.166000366210938,12.166000366210938
1.0,3.5587818405844946,12.144586563110352,12.144586563110352
2.0,3.39308650046587,12.146234512329102,12.146234512329102
3.0,3.6474657275459985,12.1249418258667,12.1249418258667
4.0,3.530151269652627,12.139131546020508,12.139131546020508
5.0,3.4422683390704067,12.226314544677734,12.226314544677734
6.0,3.3632266975261946,12.152643203735352,12.152643203735352
7.0,3.635449393229051,12.19909954071045,12.19909954071045
8.0,3.3603089451789856,12.142850875854492,12.142850875854492
9.0,4.144778154113076,12.116110801696777,12.116110801696777
10.0,3.4619782946326514,12.158808708190918,12.158808708190918
11.0,3.3806172717701304,12.175567626953125,12.175567626953125
12.0,3.832385366613215,12.145073890686035,12.145073890686035
13.0,3.5917475060983137,12.08668327331543,12.08668327331543
14.0,3.431990081613714,12.134149551391602,12.134149551391602
15.0,3.249041922729124,12.097579002380371,12.097579002380371
16.0,3.315991163253784,12.134769439697266,12.134769439697266
17.0,3.525949705730785,12.14566707611084,12.14566707611084
18.0,3.2116029374301434,12.098042488098145,12.098042488098145
19.0,3.2691283090548082,12.107186317443848,12.107186317443848
20.0,3.2856562462720005,12.100948333740234,12.100948333740234
21.0,3.3003064502369273,12.092398643493652,12.092398643493652
22.0,3.2654142677783966,12.094461441040039,12.094461441040039
23.0,3.392714863473719,12.095244407653809,12.095244407653809
24.0,3.364023978059942,12.107375144958496,12.107375144958496
25.0,3.321108352054249,12.104905128479004,12.104905128479004
26.0,3.3279480961236088,12.091724395751953,12.091724395751953
27.0,3.3425003506920556,12.09713077545166,12.09713077545166
28.0,3.569414648142728,12.084662437438965,12.084662437438965
29.0,3.1880281675945628,12.093214988708496,12.093214988708496
30.0,3.22451470114968,12.087457656860352,12.087457656860352
31.0,3.6393546841361304,12.104087829589844,12.104087829589844
32.0,3.1742007407275112,12.139695167541504,12.139695167541504
33.0,3.4700621637431057,12.099417686462402,12.099417686462402
34.0,3.1326474168083887,12.108470916748047,12.108470916748047
35.0,3.1251074942675503,12.088678359985352,12.088678359985352
36.0,3.375547018918124,12.10339641571045,12.10339641571045
37.0,2.7659171630035746,12.093168258666992,12.093168258666992
38.0,2.7267070654779673,12.118054389953613,12.118054389953613
39.0,3.0305089053105223,12.10584545135498,12.10584545135498
40.0,2.91928753527728,12.143094062805176,12.143094062805176
41.0,2.745419732210311,12.107988357543945,12.107988357543945
42.0,2.7393020391464233,12.146510124206543,12.146510124206543
43.0,2.65503669868816,12.107247352600098,12.107247352600098
44.0,2.670885221524672,12.145720481872559,12.145720481872559
45.0,2.621268765492873,12.10863208770752,12.10863208770752
46.0,2.5582128546454688,12.136285781860352,12.136285781860352
47.0,2.6199076584624974,12.099848747253418,12.099848747253418
48.0,2.897903713313016,12.170683860778809,12.170683860778809
