project_key,observation_date,withdraw_next_12m,capacity_reduction_pct,capacity_reduction_pct_missing,cost_change_since_previous_study,cost_change_since_previous_study_missing,dpp_event_count_to_date,dpp_event_count_to_date_missing,network_upgrade_cost,network_upgrade_cost_missing,restudy_count,study_delay_days,upgrade_cost_per_mw,upgrade_cost_per_mw_missing,extreme_weather_days_12m,fema_risk_score,population,population_change_since_2020,population_yoy_pct,population_yoy_pct_missing,rural_flag,storm_events_12m,storm_property_damage_12m,distance_to_transmission_km,mtep_investment_nearby_usd,nearby_mtep_upgrade_count,nearby_transmission_voltage,construction_cost_index_change_12m,interest_rate_at_entry,interest_rate_at_observation,interest_rate_change_since_entry,miso_demand_yoy_pct,miso_generation_yoy_pct,miso_mean_demand_mw,miso_net_interchange_mw,miso_peak_demand_mw,news_count_90d,news_sentiment_mean_90d,capacity_change_pct,capacity_mw,developer_active_project_count,developer_prior_completion_rate,developer_prior_withdrawal_rate,is_hybrid,log1p_capacity_mw,months_until_service,nearby_queue_mw,other_active_mw_same_poi,other_active_mw_same_technology,other_active_projects_same_poi,other_active_projects_same_state,prior_12m_withdrawal_count,queue_age_months,service_date_passed,service_date_shift_months,years_since_last_change,years_since_last_change_missing,technology_primary__battery,technology_primary__natural_gas,technology_primary__other,technology_primary__solar,technology_primary__wind_onshore,technology_primary__OTHER_RARE,technology_primary_missing,state_code__AR,state_code__IA,state_code__IL,state_code__IN,state_code__KY,state_code__LA,state_code__MI,state_code__MN,state_code__MO,state_code__MS,state_code__ND,state_code__SD,state_code__TX,state_code__WI,state_code__OTHER_RARE,state_code_missing,study_phase__In_Progress,study_phase__Not_Started,study_phase__OTHER_RARE,study_phase_missing,service_type__ERIS,service_type__NRIS,service_type__OTHER_RARE,service_type_missing,dpp_delay_info_available,eia_yoy_available,project_change_history_available,avg_withdrawn_mw_12m,developer_avg_active_project_mw,avg_active_project_mw_state,news_recent_intensity,negative_news_share_90d
P::J1704,2021-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,6.0,43.416030534351144,45060.0,0.0,0.6455071363159259,0.0,1.0,13.0,125000.0,0.9009842902844505,3156056325.0,590.0,138.0,47.993315508021375,0.88,1.63,0.7499999999999999,3.902822972024885,11.917511051905072,68400.50694444444,-1727.375,80485.0,19.0,-3.623136292095331,0.0,50.0,70.0,0.0,0.29292929292929293,0,3.9318256327243257,20.008213552361397,399.0,399.0,9021.0,2.0,145.0,2059,18.20123203285421,0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,193.8579941719281,165.42857142857142,172.4,0.3157894736842105,0.7894736842105263
P::J1704,2022-12-31,1,,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,43.416030534351144,45101.0,41.0,0.09098979138926211,0.0,1.0,6.0,370000.0,0.9009842902844505,3629282764.0,626.0,138.0,-7.179227755746058,0.88,4.22,3.34,1.2095487840053296,1.5503132552714252,69227.84444444445,-2701.1277777777777,84452.0,33.0,-1.8932355678067738,0.0,50.0,121.0,0.0,0.21794871794871795,0,3.9318256327243257,8.016427104722792,199.0,199.0,35201.0,1.0,238.0,205,22.93223819301848,0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,260.54048780487807,159.86776859504133,181.14285714285714,1.0909090909090908,0.5757575757575758
P::J1705,2020-12-31,1,,1.0,,1.0,,1.0,,1.0,,,,1.0,5.0,81.42493638676844,57537.0,-996.0,,1.0,0.0,15.0,202500.0,2.6811603153875003,4045495182.0,619.0,345.0,3.792784458834421,0.88,0.89,0.010000000000000009,,,65831.23055555555,-5910.3388888888885,79415.0,210.0,-2.1520596946521455,,200.0,64.0,0.09012875536480687,0.6351931330472103,0,5.303304908059076,37.65092402464066,0.0,0.0,66228.8,0.0,60.0,1781,5.486652977412731,0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,122.625,139.78333333333333,1.2714285714285714,0.7666666666666667
P::J1706,2020-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,0.0,46.4058524173028,36853.0,-182.0,,1.0,1.0,11.0,18500.0,0.8585948962971652,3223354.0,1.0,138.0,3.792784458834421,0.88,0.89,0.010000000000000009,,,65831.23055555555,-5910.3388888888885,79415.0,210.0,-2.1520596946521455,,100.0,64.0,0.09012875536480687,0.6351931330472103,0,4.61512051684126,52.993839835728956,0.0,0.0,66328.8,0.0,60.0,1781,5.486652977412731,0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,122.625,141.45,1.2714285714285714,0.7666666666666667
P::J1706,2021-12-31,0,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,0.0,46.4058524173028,37035.0,0.0,0.49385396032888274,0.0,1.0,1.0,10000.0,0.8585948962971652,3223354.0,1.0,138.0,47.993315508021375,0.88,1.63,0.7499999999999999,3.902822972024885,11.917511051905072,68400.50694444444,-1727.375,80485.0,70.0,-3.6229843402017083,0.0,100.0,93.0,0.08013937282229965,0.5923344947735192,0,4.61512051684126,41.002053388090346,0.0,0.0,118228.8,0.0,105.0,2059,18.20123203285421,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,193.8579941719281,147.43010752688173,148.5142857142857,1.1571428571428573,0.8
P::J1706,2022-12-31,0,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,0.0,46.4058524173028,37066.0,31.0,0.08370460375319855,0.0,1.0,3.0,10000.0,0.8585948962971652,3223354.0,1.0,138.0,-7.179227755746058,0.88,4.22,3.34,1.2095487840053296,1.5503132552714252,69227.84444444445,-2701.1277777777777,84452.0,53.0,-0.2885708364708367,0.0,100.0,117.0,0.07836990595611286,0.5517241379310345,0,4.61512051684126,29.010266940451746,0.0,0.0,228029.8,0.0,135.0,205,30.193018480492814,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,260.54048780487807,153.17094017094018,152.4962962962963,0.7924528301886793,0.37735849056603776
P::J1707,2020-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,4.0,59.12849872773537,42578.0,-1064.0,,1.0,1.0,10.0,20000.0,4.9974473035305955,2955725016.0,567.0,161.0,3.792784458834421,0.88,0.89,0.010000000000000009,,,65831.23055555555,-5910.3388888888885,79415.0,47.0,-0.7023790147133347,,72.0,2.0,0.0,0.5,0,4.290459441148391,27.59753593429158,0.0,0.0,66356.8,0.0,106.0,1781,5.486652977412731,0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,136.0,156.3679245283019,1.2127659574468086,0.574468085106383
P::J1707,2021-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,59.12849872773537,43642.0,0.0,2.498943116163277,0.0,1.0,2.0,0.0,4.9974473035305955,3156056325.0,590.0,161.0,47.993315508021375,0.88,1.63,0.7499999999999999,3.902822972024885,11.917511051905072,68400.50694444444,-1727.375,80485.0,19.0,-3.623136292095331,0.0,72.0,6.0,0.0,0.3333333333333333,0,4.290459441148391,15.605749486652977,0.0,0.0,118256.8,0.0,145.0,2059,18.20123203285421,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,193.8579941719281,132.83333333333334,172.24827586206897,0.3157894736842105,0.7894736842105263
P::J1707,2022-12-31,1,,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,59.12849872773537,43565.0,-77.0,-0.17643554374227044,0.0,1.0,22.0,0.0,4.9974473035305955,3629282764.0,626.0,161.0,-7.179227755746058,0.88,4.22,3.34,1.2095487840053296,1.5503132552714252,69227.84444444445,-2701.1277777777777,84452.0,33.0,-1.8932355678067738,0.0,72.0,13.0,0.0,0.1875,0,4.290459441148391,3.6139630390143735,0.0,0.0,228057.8,0.0,238.0,205,15.080082135523615,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,260.54048780487807,234.0,181.05042016806723,1.0909090909090908,0.5757575757575758
P::J1708,2020-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,61.06870229007634,51509.0,-476.0,,1.0,0.0,20.0,340000.0,3.8212540659378127,4045495182.0,619.0,138.0,3.792784458834421,0.88,0.89,0.010000000000000009,,,65831.23055555555,-5910.3388888888885,79415.0,210.0,-2.1520596946521455,,75.0,64.0,0.09012875536480687,0.6351931330472103,0,4.330733340286331,52.993839835728956,0.0,0.0,66353.8,0.0,60.0,1781,5.486652977412731,0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,122.625,141.86666666666667,1.2714285714285714,0.7666666666666667
P::J1708,2021-12-31,0,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,1.0,61.06870229007634,51985.0,0.0,0.9241103496476333,0.0,0.0,14.0,450000.0,3.8212540659378127,4173778935.0,632.0,138.0,47.993315508021375,0.88,1.63,0.7499999999999999,3.902822972024885,11.917511051905072,68400.50694444444,-1727.375,80485.0,70.0,-3.6229843402017083,0.0,75.0,93.0,0.08013937282229965,0.5923344947735192,0,4.330733340286331,41.002053388090346,0.0,0.0,118253.8,0.0,105.0,2059,18.20123203285421,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,193.8579941719281,147.43010752688173,148.75238095238095,1.1571428571428573,0.8
P::J1708,2022-12-31,1,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,1.0,61.06870229007634,51296.0,-689.0,-1.3253823218235983,0.0,0.0,5.0,10000.0,3.8212540659378127,4427212983.0,661.0,138.0,-7.179227755746058,0.88,4.22,3.34,1.2095487840053296,1.5503132552714252,69227.84444444445,-2701.1277777777777,84452.0,53.0,-0.2885708364708367,0.0,75.0,117.0,0.07836990595611286,0.5517241379310345,0,4.330733340286331,29.010266940451746,0.0,0.0,228054.8,0.0,135.0,205,30.193018480492814,0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,260.54048780487807,153.17094017094018,152.68148148148148,0.7924528301886793,0.37735849056603776
P::J1709,2020-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,0.0,56.965648854961835,28940.0,-500.0,,1.0,1.0,6.0,4000.0,3.883787091365401,1138246719.0,70.0,138.0,3.792784458834421,0.89,0.89,0.0,,,65831.23055555555,-5910.3388888888885,79415.0,217.0,-1.823351254452363,,100.0,7.0,0.0625,0.5,0,4.61512051684126,13.043121149897331,0.0,0.0,2436.0,0.0,6.0,1781,0.26283367556468173,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,335.85714285714283,375.1666666666667,1.423963133640553,0.6682027649769585
P::J1709,2021-12-31,0,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,1.0,56.965648854961835,29440.0,0.0,1.727712508638568,0.0,1.0,4.0,10000.0,3.883787091365401,1217446706.0,76.0,138.0,47.993315508021375,0.89,1.63,0.7399999999999999,3.902822972024885,11.917511051905072,68400.50694444444,-1727.375,80485.0,167.0,-2.8415118189119495,0.0,100.0,19.0,0.03125,0.375,0,4.61512051684126,1.051334702258727,0.0,0.0,8971.0,0.0,22.0,2059,18.20123203285421,0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,193.8579941719281,181.94736842105263,167.45454545454547,0.7724550898203593,0.7724550898203593
P::J1709,2022-12-31,0,,1.0,,1.0,1.0,0.0,,1.0,,,,1.0,0.0,56.965648854961835,30145.0,705.0,2.394701086956519,0.0,1.0,0.0,0.0,3.883787091365401,1441308112.0,85.0,138.0,-7.179227755746058,0.89,4.22,3.3299999999999996,1.2095487840053296,1.5503132552714252,69227.84444444445,-2701.1277777777777,84452.0,177.0,-1.8635655167312581,0.0,100.0,32.0,0.021739130434782608,0.2826086956521739,0,4.61512051684126,-10.940451745379876,0.0,0.0,35151.0,0.0,41.0,205,11.3347022587269,1,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,260.54048780487807,193.375,178.9512195121951,1.0338983050847457,0.5875706214689266
P::J1710,2020-12-31,0,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,40.42620865139949,8889.0,363.0,,1.0,1.0,3.0,35000.0,1.6848588835142913,911001818.0,117.0,115.0,3.792784458834421,0.89,0.89,0.0,,,65831.23055555555,-5910.3388888888885,79415.0,81.0,-1.8105919568559372,,300.0,24.0,0.0,0.5294117647058824,1,5.707110264748875,32.394250513347025,0.0,0.0,66128.8,0.0,24.0,1781,0.26283367556468173,0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.1618641212802,129.66666666666666,124.66666666666667,0.8888888888888888,0.6419753086419753
