step,train_loss,val_loss
0.0,0.3724830248127288,0.21373899189505358
1.0,0.3709712306436412,0.21446306721137734
2.0,0.3696575551940533,0.21468731051481882
3.0,0.36832165868749356,0.2149447060950423
4.0,0.3669444608445855,0.21563220039754222
5.0,0.36563768772194877,0.21634402507532638
6.0,0.36444413845113827,0.21671306195092588
7.0,0.3632917395910973,0.21697404379339658
8.0,0.3622644293613363,0.2175345543886333
9.0,0.3611541503690975,0.21691302808453206
10.0,0.3600243888911176,0.2175956322804167
11.0,0.35891310667390475,0.21820527454190394
12.0,0.3578382097422264,0.21884328353228888
13.0,0.35698010420896936,0.21914012853642886
14.0,0.35595038064586415,0.21820488885201095
15.0,0.3550694303541725,0.21795711788568867
16.0,0.3540909831388443,0.21900134321670256
17.0,0.35312734830590203,0.2192707025299722
18.0,0.3521950122959318,0.21954217066466225
19.0,0.3512960915424511,0.22016854270911285
20.0,0.35041368386139987,0.22050495512267393
21.0,0.3496316185356144,0.2200359248568096
22.0,0.34889118578668143,0.22026990853743705
23.0,0.34794151501305615,0.22013881472243657
24.0,0.34722593778634553,0.219638089189381
25.0,0.34641319153069505,0.2199635341469624
26.0,0.34553666765227226,0.2198434236746883
27.0,0.34476514721603496,0.22058495186384633
28.0,0.3440163155447855,0.22091450696036002
29.0,0.34337524486294585,0.2212414265669341
30.0,0.342715624947472,0.22095010365369863
31.0,0.3420386513146157,0.22086061076004745
32.0,0.34124334749119817,0.22074060403553253
33.0,0.340511942246997,0.220582801434192
34.0,0.3398793335489275,0.22079225827717067
35.0,0.33930160976566426,0.22103074724443705
36.0,0.3385910848696591,0.2203070895751892
37.0,0.3379853965364238,0.2204757992694128
38.0,0.33727536403682684,0.22049973186368257
39.0,0.33660244367803965,0.22043956400455517
40.0,0.335878971267672,0.21984667920070303
41.0,0.3352631735091958,0.22013886409011119
42.0,0.33474664737413556,0.22043055024782043
43.0,0.33416172680554307,0.22074019503277167
44.0,0.33345581909983646,0.2202685162064442
45.0,0.3329549979171663,0.22051669619310818
46.0,0.33239899925454974,0.22080507886221992
47.0,0.33177167564590754,0.22018956538535744
48.0,0.33109307775296787,0.21979852096302216
49.0,0.33062085430308397,0.22008847788771776
50.0,0.33013525596885596,0.22027219452681798
51.0,0.32963189455251707,0.2204689870988742
52.0,0.3291305083650715,0.22069042716010784
53.0,0.32846787454242915,0.22021981863347428
54.0,0.3280306995970646,0.2204297237009288
55.0,0.3275542111210194,0.22076678605107736
56.0,0.32696455266461544,0.2201726954411639
57.0,0.3264954553413182,0.2203601046410005
58.0,0.325932808274632,0.2199491735678052
59.0,0.3254928229357257,0.22025853822734914
60.0,0.3249118495059631,0.21987529464196065
61.0,0.3244443944496725,0.21958420163535672
62.0,0.32388473552645186,0.21918975310139446
63.0,0.3234945474507376,0.21931861072682532
64.0,0.32296831857209063,0.21923337056363854
65.0,0.3222845020919901,0.2191565110174975
66.0,0.3218108893420566,0.21901154019000305
67.0,0.3214519524762985,0.21919304980743592
68.0,0.32089907639488624,0.2190280679789756
69.0,0.32044978005203795,0.218645274261351
70.0,0.31996091404312443,0.21832076154656455
71.0,0.31931569831826045,0.21830541899803957
72.0,0.31894493611300273,0.21858574628408606
73.0,0.31844902043733014,0.21821722255124046
74.0,0.31811174719990715,0.2183730729625038
75.0,0.3175934018035038,0.21823375360215033
76.0,0.31719914017390705,0.21848104145621924
77.0,0.31686006568361585,0.21857792243095292
78.0,0.3164705695712249,0.21882525164323177
79.0,0.31597036421516667,0.21878609839831115
80.0,0.31564375631041147,0.2189366433724086
81.0,0.31524338080104447,0.21887326905117607
82.0,0.314937470463737,0.2189842116887665
83.0,0.3144736924306965,0.2190077177529172
84.0,0.31413414405846407,0.21912843970001628
85.0,0.3138282848677744,0.21921595153561196
86.0,0.31338501321214346,0.2191803789459985
87.0,0.31303413732244034,0.21868652503120625
88.0,0.31266772206245336,0.21898140542354907
89.0,0.3123865039872708,0.21917435239233382
90.0,0.31205676246988157,0.21924583136686387
91.0,0.31172700440937257,0.21885202081110167
92.0,0.31144178287052915,0.2185008399828127
93.0,0.31102136752374876,0.21810901664814197
94.0,0.31070966052564125,0.2181375994616616
95.0,0.3104107392070043,0.2182850951747368
96.0,0.30998469756714003,0.21820085645441356
97.0,0.3096535177092633,0.21821418980342222
98.0,0.309360392445452,0.21827983000764709
99.0,0.3091046080511475,0.21844054159755727
100.0,0.30865821333132076,0.21790929739735168
