step,train_loss,train_acc,val_loss,val_acc,val_pr_auc
0.0,0.5959956618263985,0.8803783948733598,0.6144321602041833,0.9453781512605042,0.030605575563558755
1.0,0.5247081008160286,0.8797680805614891,0.5500392609276992,0.9555822328931572,0.04566036359247755
2.0,0.46792072080636704,0.876716509002136,0.48323263240073766,0.9585834333733494,0.03886561295172334
3.0,0.4357233316570536,0.8764113518462008,0.440649732758429,0.9585834333733494,0.0446652811909196
4.0,0.41229080839028304,0.8764113518462008,0.39917366003359434,0.9585834333733494,0.05229305882538615
5.0,0.39525674599807537,0.8764113518462008,0.3708617119767181,0.9585834333733494,0.05368973299545763
6.0,0.3759901975692339,0.8764113518462008,0.35048078358205353,0.9585834333733494,0.05472716933612479
7.0,0.36616034471834297,0.8779371376258773,0.3313551653387194,0.9585834333733494,0.055173419183462205
8.0,0.35837942663254485,0.8773268233140067,0.3255768851585987,0.9585834333733494,0.05526444324285728
9.0,0.35100265931645,0.8812938663411657,0.30898957295400187,0.9585834333733494,0.05412229020394209
10.0,0.3447451258606608,0.8819041806530363,0.30898957295400187,0.9585834333733494,0.05412229020394209
11.0,0.34079088272815805,0.8819041806530363,0.29988685246801555,0.9585834333733494,0.05401941234683004
12.0,0.3377631448293657,0.8819041806530363,0.29160675832755323,0.9585834333733494,0.05148675261940123
13.0,0.3352269888995147,0.8819041806530363,0.2907564002614823,0.9585834333733494,0.0527294734982585
14.0,0.3327246109451534,0.881599023497101,0.2818806533851417,0.9585834333733494,0.052682597270204634
15.0,0.32868363537829837,0.8819041806530363,0.2761305051256258,0.9585834333733494,0.05139129017213219
16.0,0.3269957188098966,0.8819041806530363,0.27454925785508666,0.9585834333733494,0.050668020597815736
17.0,0.32599078706682855,0.8819041806530363,0.2715769142285999,0.9585834333733494,0.04964641341109865
18.0,0.323913120974175,0.8819041806530363,0.2671303133530077,0.9585834333733494,0.05118232582094495
19.0,0.3227291078281252,0.881599023497101,0.2641684063959164,0.9585834333733494,0.05097705074735848
20.0,0.3209886772516917,0.881599023497101,0.26411965132725634,0.9585834333733494,0.04861619172692419
21.0,0.31915146787807214,0.8831248092767775,0.26202341756508823,0.9585834333733494,0.04832522940164736
