step,train_loss,train_acc,val_loss,val_acc
0.0,0.3729382749325188,0.8764113518462008,0.2129952594870422,0.9585834333733494
1.0,0.37195425570866014,0.8764113518462008,0.21360567276503573,0.9585834333733494
2.0,0.3710086104534805,0.8764113518462008,0.21382741147980971,0.9585834333733494
3.0,0.36999632989056125,0.8764113518462008,0.21413222067997234,0.9585834333733494
4.0,0.36900504545027574,0.8764113518462008,0.2140466111923466,0.9585834333733494
5.0,0.3681198083862394,0.8764113518462008,0.21440451144993233,0.9585834333733494
6.0,0.36727131525754275,0.8764113518462008,0.2149668499505391,0.9585834333733494
7.0,0.3663719533796277,0.8764113518462008,0.21517176947602276,0.9585834333733494
8.0,0.3655118820486834,0.8764113518462008,0.21607084396560225,0.9585834333733494
9.0,0.3646770515273103,0.8764113518462008,0.216303624642067,0.9585834333733494
10.0,0.3639502249883194,0.8764113518462008,0.21561266081172878,0.9585834333733494
11.0,0.36319210380997863,0.8764113518462008,0.2164363080382991,0.9585834333733494
12.0,0.3623683343223402,0.8764113518462008,0.21674335360222932,0.9585834333733494
13.0,0.3615664013723684,0.8764113518462008,0.2169903324691116,0.9585834333733494
14.0,0.3608015124544815,0.8764113518462008,0.21716636930014335,0.9585834333733494
15.0,0.360000116012247,0.8764113518462008,0.21748974460030662,0.9585834333733494
16.0,0.3592989449848262,0.8764113518462008,0.2177337694461463,0.9585834333733494
17.0,0.35865883285229183,0.8764113518462008,0.21788705048226223,0.9585834333733494
18.0,0.357936539376586,0.8764113518462008,0.2178910782723939,0.9585834333733494
19.0,0.3572388839455214,0.8764113518462008,0.21810144623394917,0.9585834333733494
20.0,0.35663318945061406,0.8764113518462008,0.21774198949372783,0.9585834333733494
21.0,0.35599140770594667,0.8764113518462008,0.21843061152519155,0.9585834333733494
22.0,0.35541500789811054,0.8764113518462008,0.21865455409129556,0.9585834333733494
23.0,0.3547657604761556,0.8764113518462008,0.2189176980795122,0.9585834333733494
24.0,0.3541737089310436,0.8764113518462008,0.2194185578817723,0.9585834333733494
25.0,0.3536530764506909,0.8764113518462008,0.21966984567969214,0.9585834333733494
26.0,0.35312135292738356,0.8764113518462008,0.21983152607373116,0.9585834333733494
27.0,0.3525598085564122,0.8764113518462008,0.22006284036323662,0.9585834333733494
28.0,0.3519870942372682,0.8764113518462008,0.22033045493683465,0.9585834333733494
29.0,0.3514833910880127,0.8764113518462008,0.21976019137528907,0.9585834333733494
30.0,0.35095471371764414,0.8764113518462008,0.21975400259926253,0.9585834333733494
31.0,0.35040085084752265,0.8764113518462008,0.22001416652070946,0.9585834333733494
32.0,0.34986916891059605,0.8764113518462008,0.22029153273260893,0.9585834333733494
33.0,0.3493337082515448,0.8764113518462008,0.2199522984736249,0.9585834333733494
34.0,0.34884638967476206,0.8764113518462008,0.22018451096952893,0.9585834333733494
35.0,0.34833536098597795,0.8764113518462008,0.2203689834454051,0.9585834333733494
36.0,0.34791118627073636,0.8764113518462008,0.22018303061161293,0.9585834333733494
37.0,0.3474856709125277,0.8764113518462008,0.220241147814607,0.9585834333733494
38.0,0.34716167475779247,0.8764113518462008,0.22029855562483563,0.9585834333733494
39.0,0.34676353709114593,0.8764113518462008,0.2204937397548202,0.9585834333733494
40.0,0.34633567217404354,0.8764113518462008,0.2207968259389017,0.9585834333733494
41.0,0.3458785949241362,0.8764113518462008,0.22102738305085562,0.9585834333733494
42.0,0.345498484988783,0.8764113518462008,0.22100833872733425,0.9585834333733494
43.0,0.34509094998235923,0.8764113518462008,0.2204498162701064,0.9585834333733494
44.0,0.34468700781323613,0.8764113518462008,0.22051080784537927,0.9585834333733494
45.0,0.34421280825150824,0.8764113518462008,0.22046250664815753,0.9585834333733494
46.0,0.34380954906667266,0.8764113518462008,0.22057112473614363,0.9585834333733494
47.0,0.3434463657727502,0.8764113518462008,0.22047732773573459,0.9585834333733494
48.0,0.3430279852628599,0.8764113518462008,0.22043508799726508,0.9585834333733494
49.0,0.34265047397952203,0.8764113518462008,0.22017822766146597,0.9585834333733494
50.0,0.34239474998211256,0.8764113518462008,0.2204349137449107,0.9585834333733494
51.0,0.34200015642501463,0.8764113518462008,0.2206145156921745,0.9585834333733494
52.0,0.3416503893815693,0.8764113518462008,0.2204712158312746,0.9585834333733494
53.0,0.34138865328627205,0.8764113518462008,0.220290284957133,0.9585834333733494
54.0,0.3409711041163481,0.8764113518462008,0.2197122516027805,0.9585834333733494
55.0,0.34059407475961756,0.8764113518462008,0.2199168516343095,0.9585834333733494
56.0,0.3402862580294721,0.8764113518462008,0.22005192699785137,0.9585834333733494
57.0,0.33997760127762633,0.8764113518462008,0.21992106524621452,0.9585834333733494
58.0,0.3396310796168271,0.8764113518462008,0.2200087315591873,0.9585834333733494
59.0,0.3392799032836707,0.8764113518462008,0.2202961867113932,0.9585834333733494
60.0,0.3389251795658477,0.8764113518462008,0.22048810284052575,0.9585834333733494
61.0,0.33864751094506035,0.8764113518462008,0.2205196720059393,0.9585834333733494
62.0,0.338380652704061,0.8764113518462008,0.2207000972334148,0.9585834333733494
63.0,0.3380480701814874,0.8764113518462008,0.22111301976932482,0.9585834333733494
64.0,0.33764193339121573,0.8764113518462008,0.22110287768213974,0.9585834333733494
65.0,0.3373441205138035,0.8764113518462008,0.2208414081112892,0.9585834333733494
66.0,0.3369778749835102,0.8764113518462008,0.2209836947021722,0.9585834333733494
67.0,0.3366654542788322,0.8764113518462008,0.2211515873375417,0.9585834333733494
68.0,0.33638078353328243,0.8764113518462008,0.22107573545404843,0.9585834333733494
69.0,0.3361180821398991,0.8764113518462008,0.22120438690106123,0.9585834333733494
70.0,0.3358407250475076,0.8764113518462008,0.22105147529478406,0.9585834333733494
71.0,0.3355434055294902,0.8764113518462008,0.2212525597792499,0.9585834333733494
72.0,0.3352629831893472,0.8764113518462008,0.2213990906743156,0.9585834333733494
73.0,0.3349775728821609,0.8764113518462008,0.2214055327298332,0.9585834333733494
74.0,0.33457893252868387,0.8764113518462008,0.2218890485061961,0.9585834333733494
75.0,0.3343910558099768,0.8764113518462008,0.22198853153838258,0.9585834333733494
76.0,0.33406121070278755,0.8764113518462008,0.22205952051378527,0.9585834333733494
77.0,0.3337330445090208,0.8764113518462008,0.2217778123575313,0.9585834333733494
78.0,0.33344095066498974,0.8764113518462008,0.22194464368318595,0.9585834333733494
79.0,0.3330386347379814,0.8764113518462008,0.22185503309067128,0.9585834333733494
