project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::J342,withdrawn,2014-08-11,day,,2020-12-31,Berkeley,high
P::B::J343,operational,2016-08-01,day,,,Berkeley,high
P::B::J344,operational,2017-10-28,day,,,Berkeley,high
P::B::J345,withdrawn,2014-09-12,day,,2020-12-31,Berkeley,high
P::B::J346,withdrawn,2015-12-14,day,,2020-12-31,Berkeley,high
P::B::J347,withdrawn,2015-12-14,day,,2020-12-31,Berkeley,high
P::B::J348,operational,2016-09-01,day,,,Berkeley,high
P::B::J349,withdrawn,2014-06-03,day,,2020-12-31,Berkeley,high
P::B::J350,withdrawn,2015-06-05,day,,2020-12-31,Berkeley,high
P::B::J351,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J352,withdrawn,2016-01-06,day,,2020-12-31,Berkeley,high
P::B::J353,withdrawn,2016-01-06,day,,2020-12-31,Berkeley,high
P::B::J354,operational,2018-04-25,day,,,Berkeley,high
P::B::J355,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J356,withdrawn,2014-12-15,day,,2020-12-31,Berkeley,high
P::B::J357,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J358,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J359,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J360,withdrawn,2014-12-15,day,,2020-12-31,Berkeley,high
P::B::J361,withdrawn,2014-12-15,day,,2020-12-31,Berkeley,high
P::B::J362,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J363,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J364,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J365,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J366,withdrawn,2014-07-07,day,,2020-12-31,Berkeley,high
P::B::J367,withdrawn,2014-09-12,day,,2020-12-31,Berkeley,high
P::B::J368,withdrawn,2016-09-16,day,,2020-12-31,Berkeley,high
P::B::J369,withdrawn,2016-09-16,day,,2020-12-31,Berkeley,high
P::B::J370,withdrawn,2015-06-29,day,,2020-12-31,Berkeley,high
P::B::J371,withdrawn,2021-12-31,interval,,2021-12-31,Berkeley,medium
P::B::J372,withdrawn,2017-02-22,day,,2020-12-31,Berkeley,high
P::B::J373,operational,2016-03-31,day,,,Berkeley,high
P::B::J374,operational,2014-11-17,day,,,Berkeley,high
P::B::J375,withdrawn,2016-10-25,day,,2020-12-31,Berkeley,high
