step,train_loss,val_loss,horizon_months
0.0,15392.600000000002,5906.3863159999,3.0
1.0,13949.100000000002,6143.07942737771,3.0
2.0,17405.300000000003,2577.5376666630764,3.0
3.0,12220.0,12220.0,12.0
4.0,15392.600000000002,15392.600000000002,12.0
5.0,13949.100000000002,13949.100000000002,12.0
6.0,17405.300000000003,7921.093047189184,12.0
