trial,pr_auc,use_l2,l1_ratio,C,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,n_features,goal
0,0.03816919870652012,False,0.7587945476302645,0.9846738873614566,1666.0,0.04141656662665066,0.4770856587986533,0.11124775588961439,0.22605450434010557,0.38193219268321515,0.0,0.0,0.0,0.0,0.03592814371257485,0.08695652173913043,0.867482426451445,0.07540248624414102,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.12074587324230691,0.9215925368849641,0.04141656662665066,ok,logistic_hpo_trial_0,val,85,below_strong
1,0.0432227663092232,True,,0.0019517224641449498,1666.0,0.04141656662665066,0.5217981178477762,0.058976914892889004,0.13633408575418798,0.2598153501166366,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.041916167664670656,0.10144927536231885,1.012062830860019,0.11157530059099247,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.2041980843692684,1.043610560451679,0.04141656662665066,ok,logistic_hpo_trial_1,val,85,below_strong
2,0.03611949377818812,True,,3.4702669886504163,1666.0,0.04141656662665066,0.46041490838801,0.06531107568098037,0.11507763952738748,0.26264576375826,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.03464438557163236,0.02694610778443114,0.13043478260869565,0.6506118198385837,0.11616058691664968,0.8721025599197306,0.04141656662665066,ok,logistic_hpo_trial_2,val,85,below_strong
3,0.0442350746787985,False,0.8491983767203796,0.011526449540315618,1666.0,0.04141656662665066,0.5288629949270824,0.05347167882500541,0.11644168618056631,0.24140774204206686,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.07642143876095374,0.041916167664670656,0.10144927536231885,1.012062830860019,0.10688811901365397,0.023952095808383235,0.11594202898550725,0.5783216176342967,0.13093539841043408,1.0680526726793957,0.04141656662665066,ok,logistic_hpo_trial_3,val,85,below_strong
4,0.03972439294406635,False,0.373818018663584,0.4205156450913872,1666.0,0.04141656662665066,0.48989953989817864,0.0903716995929473,0.1890701518067136,0.3322156889080244,0.0,0.0,0.0,0.0,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.03592814371257485,0.17391304347826086,0.867482426451445,0.1513144487466884,0.9591425890552833,0.04141656662665066,ok,logistic_hpo_trial_4,val,85,below_strong
5,0.03688801425934696,True,,1.1462107403425035,1666.0,0.04141656662665066,0.46713947346927664,0.07449977333463706,0.14347891779934505,0.2883317353087025,0.0,0.0,0.0,0.0,0.023952095808383235,0.057971014492753624,0.5783216176342967,0.04483391073975953,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.12074587324230691,0.8906584312474208,0.04141656662665066,ok,logistic_hpo_trial_5,val,85,below_strong
6,0.04464507484227361,False,0.4297256589643226,0.19069966103000435,1666.0,0.04141656662665066,0.5260089116368554,0.08365433439019977,0.18344370460409207,0.3183112076159068,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.12074587324230691,0.041916167664670656,0.2028985507246377,1.012062830860019,0.15640921133075197,1.0779520969163456,0.04141656662665066,ok,logistic_hpo_trial_6,val,85,below_strong
7,0.03840773199633878,True,,0.37253938395788866,1666.0,0.04141656662665066,0.4806339785648816,0.08230698652094955,0.1688063197417432,0.31070850079714696,0.0,0.0,0.0,0.0,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.03293413173652695,0.15942028985507245,0.795192224247158,0.14112492357856124,0.9273519058826147,0.04141656662665066,ok,logistic_hpo_trial_7,val,85,below_strong
8,0.0369499215546083,True,,1.0907475835157696,1666.0,0.04141656662665066,0.4676113727732252,0.07493347572740632,0.14479059853257958,0.289536479558747,0.0,0.0,0.0,0.0,0.023952095808383235,0.057971014492753624,0.5783216176342967,0.04483391073975953,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.12074587324230691,0.89215317840547,0.04141656662665066,ok,logistic_hpo_trial_8,val,85,below_strong
9,0.03564483481976269,True,,55.51721685244721,1666.0,0.04141656662665066,0.456113364732787,0.05602065200359452,0.0825913566535464,0.2356194081623347,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.03464438557163236,0.02694610778443114,0.13043478260869565,0.6506118198385837,0.11616058691664968,0.8606419537641252,0.04141656662665066,ok,logistic_hpo_trial_9,val,85,below_strong
