step,val_loss,val_mae
0.0,12.118608400716514,12.118608400716514
1.0,12.116388478397775,12.116388478397775
2.0,12.114297708413064,12.114297708413064
3.0,12.112718900308408,12.112718900308408
4.0,12.111160563244782,12.111160563244782
5.0,12.109138575498546,12.109138575498546
6.0,12.10751527824485,12.10751527824485
7.0,12.105527547083272,12.105527547083272
8.0,12.103685889051718,12.103685889051718
9.0,12.10234969496539,12.10234969496539
10.0,12.100668843945853,12.100668843945853
11.0,12.099404964279614,12.099404964279614
12.0,12.09820242739489,12.09820242739489
13.0,12.096702580102361,12.096702580102361
14.0,12.095395987980785,12.095395987980785
15.0,12.094140924541037,12.094140924541037
16.0,12.093058180777462,12.093058180777462
17.0,12.09203640037867,12.09203640037867
18.0,12.090779141199162,12.090779141199162
19.0,12.089664622484012,12.089664622484012
20.0,12.088644123150884,12.088644123150884
21.0,12.087526024351304,12.087526024351304
22.0,12.086302061455747,12.086302061455747
23.0,12.085483089867838,12.085483089867838
24.0,12.0843870531696,12.0843870531696
25.0,12.08356413254763,12.08356413254763
26.0,12.082729739280179,12.082729739280179
27.0,12.081793290075531,12.081793290075531
28.0,12.080995139098267,12.080995139098267
29.0,12.080222616982619,12.080222616982619
30.0,12.07941895038626,12.07941895038626
31.0,12.078687906313018,12.078687906313018
32.0,12.077927139008136,12.077927139008136
33.0,12.077258752145738,12.077258752145738
34.0,12.076558397392306,12.076558397392306
35.0,12.075994755833735,12.075994755833735
36.0,12.075344256982435,12.075344256982435
37.0,12.074780179141591,12.074780179141591
38.0,12.074205521631066,12.074205521631066
39.0,12.073628977485503,12.073628977485503
40.0,12.073000360344485,12.073000360344485
41.0,12.072395059306332,12.072395059306332
42.0,12.071855794517145,12.071855794517145
43.0,12.071293521136909,12.071293521136909
44.0,12.070738480321785,12.070738480321785
45.0,12.070339370433803,12.070339370433803
46.0,12.069804175490775,12.069804175490775
47.0,12.069362864524809,12.069362864524809
48.0,12.068941878136684,12.068941878136684
49.0,12.068598689922945,12.068598689922945
50.0,12.068145684793686,12.068145684793686
51.0,12.067746161419857,12.067746161419857
52.0,12.06733687365943,12.06733687365943
53.0,12.066942966882301,12.066942966882301
54.0,12.066627630992494,12.066627630992494
55.0,12.066253208754157,12.066253208754157
56.0,12.065877497635192,12.065877497635192
57.0,12.065551988564936,12.065551988564936
58.0,12.065218246253943,12.065218246253943
59.0,12.06491312004743,12.06491312004743
60.0,12.064484154353183,12.064484154353183
61.0,12.064193967734202,12.064193967734202
62.0,12.063941323134818,12.063941323134818
63.0,12.063656098393281,12.063656098393281
64.0,12.063404959340467,12.063404959340467
65.0,12.062968793317067,12.062968793317067
66.0,12.062724937933208,12.062724937933208
67.0,12.062527957155481,12.062527957155481
68.0,12.062158242358688,12.062158242358688
69.0,12.062075079449846,12.062075079449846
70.0,12.06192470763649,12.06192470763649
71.0,12.061640461859986,12.061640461859986
72.0,12.061398061530705,12.061398061530705
73.0,12.061144205781488,12.061144205781488
74.0,12.060985226615477,12.060985226615477
75.0,12.06081370298085,12.06081370298085
76.0,12.060978348113238,12.060978348113238
77.0,12.060815041065855,12.060815041065855
78.0,12.060605160714495,12.060605160714495
79.0,12.060387848593772,12.060387848593772
80.0,12.060256281203307,12.060256281203307
81.0,12.060068835302587,12.060068835302587
82.0,12.05982855705179,12.05982855705179
83.0,12.059737570742163,12.059737570742163
84.0,12.059585794170248,12.059585794170248
85.0,12.059460944385716,12.059460944385716
86.0,12.0592188885251,12.0592188885251
87.0,12.059227435353458,12.059227435353458
88.0,12.059053731242935,12.059053731242935
89.0,12.058959534267538,12.058959534267538
90.0,12.058730750933677,12.058730750933677
91.0,12.058673821337957,12.058673821337957
92.0,12.058333214946625,12.058333214946625
93.0,12.058293535177471,12.058293535177471
94.0,12.058187239579851,12.058187239579851
95.0,12.058082885718914,12.058082885718914
96.0,12.058011229907356,12.058011229907356
97.0,12.05792692772817,12.05792692772817
98.0,12.05783522849234,12.05783522849234
99.0,12.057809922024171,12.057809922024171
100.0,12.057654273592735,12.057654273592735
