trial,pr_auc,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,n_features,goal
0,0.04821658044194063,5,0.17254716573280354,14.883264778321262,2.993292420985183,1.2481491235394921,66,4,1666.0,0.04141656662665066,0.5300291307070322,0.05099475357424898,0.0980338604984039,0.22788733615474535,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.025473812920317914,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.12125534950071326,0.059880239520958084,0.2898550724637681,1.4458040440857416,0.2995720399429387,1.164185840815552,0.04141656662665066,ok,catboost_hpo_trial_0,val,29,[],64,below_strong
1,0.07052728092454347,8,0.06054365855469246,13.626199648277185,0.10292247147901223,7.759278817295955,218,14,1666.0,0.04141656662665066,0.7020455019828845,0.04387281017812699,0.045444509564469056,0.18237352206434632,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03821071938047687,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.09924597513755859,0.08083832335329341,0.391304347826087,1.9518354595157512,0.33014061544732015,1.7028760872505715,0.04141656662665066,ok,catboost_hpo_trial_1,val,539,[],64,below_strong
2,0.04830452787100971,4,0.017322667470546258,3.0719512902674277,2.6237821581611893,3.455560149136926,97,40,1666.0,0.04141656662665066,0.5741970905592915,0.046555335673921894,0.06270791751420626,0.20178702605726329,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.08610148767067455,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.15172202975341348,1.166309325117423,0.04141656662665066,ok,catboost_hpo_trial_2,val,1066,[],64,below_strong
3,0.07426510408521197,3,0.023993242906812727,3.863079550856727,2.28034992108518,6.281407691144109,76,33,1666.0,0.04141656662665066,0.6734275316943907,0.04713889646856369,0.08281664326430163,0.20941039148441948,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.056042388424699406,0.08383233532934131,0.2028985507246377,2.024125661720038,0.11116771958426737,0.09580838323353294,0.463768115942029,2.3132864705371867,0.38129203179131854,1.7931255566081616,0.04141656662665066,ok,catboost_hpo_trial_3,val,496,[],64,below_strong
4,0.07406377528156888,6,0.011492999300221412,9.40423125617563,0.8526206184364576,0.5204127438822361,244,62,1666.0,0.04141656662665066,0.6713811222128448,0.04651565209524369,0.07752399180716715,0.20595143858284348,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.07132667617689016,0.10179640718562874,0.2463768115942029,2.457866874945761,0.1844304055431017,0.08383233532934131,0.4057971014492754,2.024125661720038,0.3167923374770736,1.788264487233243,0.04141656662665066,ok,catboost_hpo_trial_4,val,623,[],64,below_strong
5,0.07285576202603619,7,0.0249064396938244,1.43376041642741,3.4211651325607844,3.5212199499168104,59,32,1666.0,0.04141656662665066,0.681436207381594,0.04171669252668292,0.012545227811695923,0.17167778048060922,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.08457305889545547,0.0718562874251497,0.17391304347826086,1.73496485290289,0.15834522111269614,0.0748502994011976,0.36231884057971014,1.8072550551071769,0.39066639494599553,1.7590970947155986,0.04141656662665066,ok,catboost_hpo_trial_5,val,1477,[],64,below_strong
6,0.04152418164128063,3,0.15242391728466367,2.597652512193531,3.31261142176991,2.4936886087152876,148,35,1666.0,0.04141656662665066,0.5165028631582769,0.04658266841951634,0.07268678595507905,0.2081153992847301,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.029940119760479042,0.07246376811594203,0.7229020220428708,0.07642143876095374,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.15477888730385164,1.0025983567300514,0.04141656662665066,ok,catboost_hpo_trial_6,val,81,[],64,below_strong
7,0.06262469638388139,4,0.18258230439200238,17.450556623004413,4.697494707820946,7.158618803421191,165,59,1666.0,0.04141656662665066,0.5570181408982422,0.049843547211939856,0.09378255607660514,0.22239413988414838,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.02292643162828612,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.11667006317505604,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.21092317098023233,1.5120687561673392,0.04141656662665066,ok,catboost_hpo_trial_7,val,61,[],64,below_strong
8,0.07459748870247318,3,0.017987863473362915,1.1815628565061058,1.6266516538163218,3.109418317515856,92,54,1666.0,0.04141656662665066,0.7036971495467044,0.04526708727026199,0.07732931780463775,0.20556935523983935,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.05808029345832484,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.13959649480334216,0.08383233532934131,0.4057971014492754,2.024125661720038,0.38159771754636235,1.8011509591060917,0.04141656662665066,ok,catboost_hpo_trial_8,val,236,[],64,below_strong
9,0.08928172057032766,5,0.023200867504756827,7.40340797228277,0.7046211248738132,6.417575846032317,48,64,1666.0,0.04141656662665066,0.7258809543255924,0.04448685591269498,0.0704511802136038,0.19754499792027486,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.05298553087426126,0.11377245508982035,0.2753623188405797,2.747027683762909,0.20929284695333197,0.11377245508982035,0.5507246376811594,2.747027683762909,0.4759527206032199,2.155700673480665,0.04141656662665066,ok,catboost_hpo_trial_9,val,241,[],64,below_strong
