parent_trial,seed,n,positive_rate,pr_auc,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,added_features,join_note,n_features
163,13,1666.0,0.04141656662665066,0.06701080926660137,0.6615075367763832,0.0464695624282141,0.06502704010816716,0.19748524276108723,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.09170572651314449,0.0718562874251497,0.17391304347826086,1.73496485290289,0.14265335235378032,0.08083832335329341,0.391304347826087,1.9518354595157512,0.31730181373547994,1.6179711338863463,0.04141656662665066,ok,catboost_seed_13,val,245,[],[],,64
163,42,1666.0,0.04141656662665066,0.0657935717301307,0.6601417512909169,0.044940345697803245,0.06601010891221798,0.19729363552078885,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.1143264723863868,0.0718562874251497,0.17391304347826086,1.73496485290289,0.15508457305889545,0.06287425149700598,0.30434782608695654,1.5180942462900286,0.24098227022620747,1.5885810217738805,0.04141656662665066,ok,catboost_seed_42,val,113,[],[],,64
163,73,1666.0,0.04141656662665066,0.10282801935580621,0.7229497336491428,0.04526451358039396,0.058715343332032405,0.18643735508086373,0.13095238095238096,0.15942028985507245,3.161835748792271,0.14825759119625026,0.11976047904191617,0.2898550724637681,2.891608088171483,0.2822498471571225,0.11077844311377245,0.5362318840579711,2.6747374815586222,0.5334216425514571,2.4827750760401908,0.04141656662665066,ok,catboost_seed_73,val,369,[],[],,64
163,101,1666.0,0.04141656662665066,0.06587653961312437,0.660513825742107,0.04410139839988157,0.058749366044307375,0.1921845097857853,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.06979824740167108,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.18239250050947625,0.0658682634730539,0.3188405797101449,1.590384448494316,0.30354595475850826,1.5905842752965973,0.04141656662665066,ok,catboost_seed_101,val,134,[],[],,64
163,2026,1666.0,0.04141656662665066,0.07122160977148358,0.664974181663082,0.04428597078669249,0.05173409553554033,0.1888352672392942,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0585897697167312,0.0718562874251497,0.17391304347826086,1.73496485290289,0.16201345017322194,0.07784431137724551,0.37681159420289856,1.8795452573114642,0.32698186264520074,1.7196406069462558,0.04141656662665066,ok,catboost_seed_2026,val,232,[],[],,64
149,13,1666.0,0.04141656662665066,0.08506465709654956,0.6937282767507917,0.04728019294806255,0.06518700360099976,0.1955553795269854,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.07947829631139189,0.09580838323353294,0.2318840579710145,2.3132864705371867,0.18137354799266353,0.09281437125748503,0.4492753623188406,2.2409962683328994,0.3667210108008967,2.053879981490603,0.04141656662665066,ok,catboost_seed_13,val,263,[],[],,64
149,42,1666.0,0.04141656662665066,0.05690201085977517,0.6378490466726562,0.04547074086259262,0.07318862848377979,0.20393313458401596,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.043305481964540454,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.13501120847768494,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.2628897493376809,1.3738949288751514,0.04141656662665066,ok,catboost_seed_42,val,41,[],[],,64
149,73,1666.0,0.04141656662665066,0.10843420181373035,0.7625439002477471,0.044904860961104395,0.07650389107916883,0.19434306980462157,0.13095238095238096,0.15942028985507245,3.161835748792271,0.13287140819237825,0.12574850299401197,0.30434782608695654,3.0361884925800573,0.242306908498064,0.10778443113772455,0.5217391304347826,2.602447279354335,0.4529243937232525,2.6181359452416637,0.04141656662665066,ok,catboost_seed_73,val,82,[],[],,64
149,101,1666.0,0.04141656662665066,0.07245100899799414,0.6535533110088662,0.044951725423124124,0.06195735919909974,0.19464105808594803,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.10444263297330345,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.1818830242510699,0.0688622754491018,0.3333333333333333,1.662674650698603,0.3780313837375178,1.7493243621834529,0.04141656662665066,ok,catboost_seed_101,val,123,[],[],,64
149,2026,1666.0,0.04141656662665066,0.11875832235740086,0.8017342299420108,0.0415764300950839,0.017838252977904874,0.15784708210423756,0.11904761904761904,0.14492753623188406,2.8743961352657004,0.12023639698390055,0.1317365269461078,0.3188405797101449,3.180768896988632,0.3067047075606277,0.11676646706586827,0.5652173913043478,2.8193178859671963,0.5536987976360301,2.867411087643911,0.04141656662665066,ok,catboost_seed_2026,val,654,[],[],,64
