project_key,study_cycle,study_group,study_phase,upgrade_cost_usd,upgrade_cost_per_mw,capacity_mw,capacity_reduction_pct,restudy_flag,report_date,effective_date,available_date,entity_key,geographic_key,source_name,source_url,retrieved_at,match_method,match_confidence
P::J1025,DPP-2018-APR,Central,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1025,ZACHARY MAYWOOD 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1026,DPP-2018-APR,Central,GIA,,,400.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1026,SPENCER CREEK 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1027,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1027,RATTS 161KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1028,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1028,RATTS VICTORY 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1029,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1029,FANCY POINT 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1030,DPP-2018-APR,South,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1030,POCO MENARD 138KV LINE TAO,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1031,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1031,FALL CREEK NEW CASTLE 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1032,DPP-2018-APR,West,GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1032,BRIGGS RD N ROCHESTER 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1033,DPP-2018-APR,Central,GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1033,STODDARD MORELY 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1034,DPP-2018-APR,Central,GIA,,,225.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1034,STODDARD MORLEY 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1035,DPP-2018-APR,Central,GIA,,,75.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1035,FAYETTEVILLE MARIGOLD 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1036,DPP-2018-APR,West,GIA,,,130.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1036,LAKEFIELD GENERATION SW 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1037,DPP-2018-APR,West,GIA,,,15.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1037,MOON LAKE 69KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1038,DPP-2018-APR,West,GIA,,,32.5,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1038,GRANT CO E FERGUS FALLS HOOT LAKE 115KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1039,DPP-2018-APR,Central,GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1039,ENON MONTOGOMERY 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1040,DPP-2018-APR,West,GIA,,,250.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1040,WISHEK JUNCTION 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1041,DPP-2018-APR,West,GIA,,,20.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1041,BREWSTER HERON LAKE 161KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1042,DPP-2018-APR,East (ATC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1042,NORTH LAKE GENEVA 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1043,DPP-2018-APR,East (ITC),GIA,,,374.4,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1043,VERGENNES NELSON RD 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1044,DPP-2018-APR,East (ATC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1044,NORTH LAKE GENEVA SUGAR CREEK BURLINGTON 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1045,DPP-2018-APR,West,GIA,,,20.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1045,FENTON CHANARAMBIE 115KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1046,DPP-2018-APR,East (ITC),GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1046,MAJESTIC LEMOYNE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1047,DPP-2018-APR,East (ATC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1047,NORTH LAKE GENEVA SUGAR CREEK BURLINGTON 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1048,DPP-2018-APR,East (ITC),GIA,,,250.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1048,VERGENNES NELSON ROAD 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1049,DPP-2018-APR,South,GIA,,,250.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1049,PURVIS 161KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1050,DPP-2018-APR,West,GIA,,,225.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1050,DOUD TAP 161KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1051,DPP-2018-APR,East (ATC),GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1051,CONCORD 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1052,DPP-2018-APR,East (ITC),GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1052,BEECHER SEAMLESS EAST 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1053,DPP-2018-APR,East (ATC),GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1053,CONCORD SW YD 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1054,DPP-2018-APR,West,GIA,,,30.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1054,CANNON FALLS 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1055,DPP-2018-APR,Central,GIA,,,144.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1055,MASON SUBSTATION 138KV BUS,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
