seed,pr_auc,training_time_sec,best_epoch,param_total,peak_gpu_memory_mb,finetune_pr_auc,finetune_improved,selected_stage,roc_auc,log_loss,brier,ece,precision_at_10pct,recall_at_10pct,withdrawn_mw_capture_at_10pct
42,0.05573686827646106,624.2942291020004,8,85981907,3764.0146484375,0.05385001003742218,False,frozen,0.508367137658472,0.5661546890166578,0.18942979858040923,0.3757997578477301,0.023952095808383235,0.057971014492753624,0.06796413287140819
123,0.05413010247980614,504.59637256199994,5,85981907,4421.0234375,0.05033982917666435,False,frozen,0.5364905211764812,0.4911168310482025,0.15183232707403352,0.33212251862844216,0.0658682634730539,0.15942028985507245,0.14438557163236193
2026,0.056918198156540645,350.6071498649999,1,85981907,4919.2099609375,0.051593124866485596,True,finetune,0.4810605029357582,0.6590540268911702,0.2330372254833816,0.43837575117150707,0.041916167664670656,0.10144927536231885,0.08273894436519258
