model,split,status,rmse_h12,mape_h12,rmse_h3,mape_h3,n_folds_h12,n_folds_h3,beats_seasonal_naive,reason
timesfm,val,ok,10714.657132225704,0.5873702437833712,3358.288737231724,0.16555058112596274,4.0,3.0,True,
holt,val,ok,12684.45545374563,0.7217162106988217,5140.250466918548,0.2493214451535892,4.0,3.0,True,
seasonal_naive,val,ok,14864.23891139402,0.8154358933080024,15646.660918121372,0.75391452441067,4.0,3.0,False,
naive,val,ok,14864.23891139402,0.8154358933080024,5272.210899297056,0.2034364738545415,4.0,3.0,False,
ridge_lags,val,ok,14864.23891139402,0.8154358933080024,14333.483046924412,0.4909087135359308,4.0,3.0,False,
ma3,val,ok,16559.367425143475,0.8910467350305462,8501.037177897768,0.4040958393096645,4.0,3.0,False,
arima,val,skipped,,,,,4.0,3.0,False,ARIMA did not identify / all-NaN forecasts
