step,train_loss,val_mae,val_loss,phase
0.0,4.206970691680908,12.119559288024902,12.119559288024902,frozen
1.0,3.9616637229919434,12.17886734008789,12.17886734008789,frozen
2.0,3.8993701934814453,12.166796684265137,12.166796684265137,frozen
3.0,3.8580422401428223,12.155241966247559,12.155241966247559,frozen
4.0,3.7761576175689697,12.120635032653809,12.120635032653809,frozen
5.0,3.743466854095459,12.122406959533691,12.122406959533691,frozen
6.0,3.703084707260132,12.124665260314941,12.124665260314941,frozen
7.0,3.6734542846679688,12.12707805633545,12.12707805633545,frozen
8.0,3.6894731521606445,12.12748908996582,12.12748908996582,frozen
9.0,3.931457281112671,12.185006141662598,12.185006141662598,finetune
10.0,3.842081308364868,12.198141098022461,12.198141098022461,finetune
11.0,3.8958301544189453,12.192465782165527,12.192465782165527,finetune
12.0,3.8527722358703613,12.195068359375,12.195068359375,finetune
13.0,3.856736660003662,12.192509651184082,12.192509651184082,finetune
14.0,3.8421382904052734,12.192665100097656,12.192665100097656,finetune
15.0,3.8880465030670166,12.195422172546387,12.195422172546387,finetune
16.0,3.841651678085327,12.19572639465332,12.19572639465332,finetune
17.0,3.7795658111572266,12.195775985717773,12.195775985717773,finetune
