document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible,local_path,download_status,source_file,zip_member
GI DPP 2020 South Ph1 System Impact Study Final PUBLIC 09282021 :: GI DPP 2020 Cycle 1 South SIS Phase I Report.pdf,https://cdn.misoenergy.org/GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021593369.zip,2020 Cycle,South,Phase1,DPP Phase 1 System Impact Study,2021-09-28,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,593369,GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.072497Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/593369_GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021.zip__GI_DPP_2020_Cycle_1_South_SIS_Phase_I_Report.pdf.pdf,ok_from_zip,593369_GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021.zip__GI_DPP_2020_Cycle_1_South_SIS_Phase_I_Report.pdf.pdf,GI DPP 2020 Cycle 1 South SIS Phase I Report.pdf
GI DPP 2018 APR Central SIS Phase II Report R05 10122021,https://cdn.misoenergy.org/GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021596538.pdf,DPP-2018-APR,Central,Phase2,DPP Phase 2 System Impact Study,2021-10-12,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,596538,GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:13.909218Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/596538_GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021.pdf.pdf,ok,596538_GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021.pdf.pdf,
GI DPP 2020 West Phase1 System Impact Study Final Report Public 10272021 :: GI DPP 2020 West SIS Phase 1 Final Report Public 102721.pdf,https://cdn.misoenergy.org/GI%20DPP%202020%20West%20Phase1%20System%20Impact%20Study%20Final%20Report%20Public%2010272021589199.zip,2020 Cycle,West,Phase1,DPP Phase 1 System Impact Study,2021-10-27,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,589199,GI DPP 2020 West Phase1 System Impact Study Final Report Public 10272021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:13.69954Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/589199_GI_DPP_2020_West_Phase1_System_Impact_Study_Final_Report_Public_10272021.zip__GI_DPP_2020_West_SIS_Phase_1_Final_Report_Public_102721.pdf.pdf,ok_from_zip,589199_GI_DPP_2020_West_Phase1_System_Impact_Study_Final_Report_Public_10272021.zip__GI_DPP_2020_West_SIS_Phase_1_Final_Report_Public_102721.pdf.pdf,GI DPP 2020 West Phase1 System Impact Study Final Report Public 10272021/GI DPP 2020 West SIS Phase 1 Final Report Public 102721.pdf
GI DPP 2020 West SIS Phase 2 Final Report Public 11172022.pdf,https://cdn.misoenergy.org/GI%20DPP%202020%20West%20SIS%20Phase%202%20Final%20Report%20Public%2011172022628190.pdf,,West,Phase2,DPP Phase 2 System Impact Study,2022-11-17,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,628190,GI DPP 2020 West SIS Phase 2 Final Report Public 11172022.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:12.943142Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/628190_GI_DPP_2020_West_SIS_Phase_2_Final_Report_Public_11172022.pdf.pdf,ok,628190_GI_DPP_2020_West_SIS_Phase_2_Final_Report_Public_11172022.pdf.pdf,
GI DPP 2019 Central Ph3 SIS Report Final R12 Public 20250328,https://cdn.misoenergy.org/GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250328688024.zip,2019 Cycle 1,Central,Phase3,DPP Phase 3 Final Study,2025-03-28,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,688024,GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250328.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:52:54.257207Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/688024_GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250328.zip.zip,zip_no_study_pdf,,
GI DPP 2019 Central Ph3 SIS Report Final R12 Public 20250422,https://cdn.misoenergy.org/GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250422693170.zip,2019 Cycle 1,Central,Phase3,DPP Phase 3 Final Study,2025-04-22,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,693170,GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250422.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:52:53.913458Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/693170_GI-DPP-2019-Central_Ph3_SIS_Report_Final_R12_Public_20250422.zip.zip,zip_no_study_pdf,,
GI DPP 2020 Central Ph 2 SIS Report FINAL v1.3 08152024 (Public),https://cdn.misoenergy.org/GI-DPP-2020-Central-Ph%202_SIS%20Report_FINAL_v1.3%2008152024%20%28Public%29639512.zip,2020 Cycle,Central,Phase2,DPP Phase 2 System Impact Study,2024-08-15,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,639512,GI-DPP-2020-Central-Ph 2_SIS Report_FINAL_v1.3 08152024 (Public).zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:52:52.388866Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/639512_GI-DPP-2020-Central-Ph_2_SIS_Report_FINAL_v1.3_08152024_Public_.zip.zip,zip_no_study_pdf,,
GI DPP 2020 West Phase 3 System Impact Study Final Report Public 04162024.zip :: DPP-2020 West Phase 3 System Impact Study Report.pdf,https://cdn.misoenergy.org/GI%20DPP%202020%20West%20Phase%203%20System%20Impact%20Study%20Final%20Report%20Public%2004162024684062.zip,2020 Cycle,West,Phase3,DPP Phase 3 Final Study,2024-04-16,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,684062,GI DPP 2020 West Phase 3 System Impact Study Final Report Public 04162024.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:52:50.006202Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/684062_GI_DPP_2020_West_Phase_3_System_Impact_Study_Final_Report_Public_04162024.zip__DPP-2020_West_Phase_3_System_Impact_Study_Report.pdf.pdf,ok_from_zip,684062_GI_DPP_2020_West_Phase_3_System_Impact_Study_Final_Report_Public_04162024.zip__DPP-2020_West_Phase_3_System_Impact_Study_Report.pdf.pdf,DPP-2020 West Phase 3 System Impact Study Report.pdf
GI DPP 2017 FEB West Phase3 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC391580.pdf,DPP-2017-FEB,West,Phase3,DPP Phase 3 Final Study,2019-10-11,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,391580,GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.580196Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/391580_GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC.pdf.pdf,ok_cover_date,391580_GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC.pdf.pdf,
GI DPP 2016 FEB West Phase2 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-FEB-West-Phase2-Final-Public394320.pdf,DPP-2016-FEB,West,Phase2,DPP Phase 2 System Impact Study,2018-03-05,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394320,GI-DPP-2016-FEB-West-Phase2-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.445939Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394320_GI-DPP-2016-FEB-West-Phase2-Final-Public.pdf.pdf,ok_cover_date,394320_GI-DPP-2016-FEB-West-Phase2-Final-Public.pdf.pdf,
