document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible,local_path,download_status,source_file,zip_member
GI DPP 2016 FEB West Area SIS Second Addendum Public Final,https://cdn.misoenergy.org/GI%20DPP%202016%20FEB%20West%20Area%20SIS%20Second%20Addendum%20Public%20Final429588.pdf,DPP-2016-FEB,West,Unknown,Addendum,2018-03-05,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,429588,GI DPP 2016 FEB West Area SIS Second Addendum Public Final.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.345873Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/429588_GI_DPP_2016_FEB_West_Area_SIS_Second_Addendum_Public_Final.pdf.pdf,ok_cover_date,429588_GI_DPP_2016_FEB_West_Area_SIS_Second_Addendum_Public_Final.pdf.pdf,
GI DPP 2018 APR West Phase1 System Impact Report Public,https://cdn.misoenergy.org/GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public433420.pdf,DPP-2018-APR,West,Phase1,DPP Phase 1 System Impact Study,2020-03-04,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,433420,GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.174993Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/433420_GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public.pdf.pdf,ok_cover_date,433420_GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public.pdf.pdf,
GI DPP 2018 APR MI Ph2 System Impact Study Final PUBLIC :: GI DPP 2018 APRIL MI SIS Phase 2 Report-V4-Final.pdf,https://cdn.misoenergy.org/GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC452097.zip,DPP-2018-APR,Michigan,Phase2,DPP Phase 2 System Impact Study,2020-06-10,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,452097,GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:14.144224Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/452097_GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2018_APRIL_MI_SIS_Phase_2_Report-V4-Final.pdf.pdf,ok_cover_date_zip,452097_GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2018_APRIL_MI_SIS_Phase_2_Report-V4-Final.pdf.pdf,GI DPP 2018 APRIL MI SIS Phase 2 Report-V4-Final.pdf
GI DPP 2018 APR ATC Ph1 System Impact Study Final PUBLIC :: Final System Impact Study Report-DPP Apr 18 Phase 1_20191004-PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC435259.zip,DPP-2018-APR,ATC,Unknown,System Impact Study,2019-10-04,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,435259,GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.94997Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/435259_GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_1_20191004-PUBLIC.pdf.pdf,ok_cover_date_zip,435259_GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_1_20191004-PUBLIC.pdf.pdf,Final System Impact Study Report-DPP Apr 18 Phase 1_20191004-PUBLIC.pdf
GI DPP 2017 AUG ATC Restudy Final R1 PUBLIC :: Restudy Addemdum_to_DPP Aug 17 WI Phase 3 SIS_20201021_PUBLIC_Final.pdf,https://cdn.misoenergy.org/GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC470236.zip,DPP-2017-AUG,ATC,Restudy,Restudy,2020-10-21,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,470236,GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.841858Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/470236_GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC.zip__Restudy_Addemdum_to_DPP_Aug_17_WI_Phase_3_SIS_20201021_PUBLIC_Final.pdf.pdf,ok_cover_date_zip,470236_GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC.zip__Restudy_Addemdum_to_DPP_Aug_17_WI_Phase_3_SIS_20201021_PUBLIC_Final.pdf.pdf,Restudy Addemdum_to_DPP Aug 17 WI Phase 3 SIS_20201021_PUBLIC_Final.pdf
GI DPP 2016 AUG West Phase3 Addendum Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase3-Addendum%20Public435874.pdf,DPP-2016-AUG,West,Phase3,DPP Phase 3 Final Study;Addendum,2019-03-14,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,435874,GI-DPP-2016-AUG-West-Phase3-Addendum Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:13.706202Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/435874_GI-DPP-2016-AUG-West-Phase3-Addendum_Public.pdf.pdf,ok_cover_date,435874_GI-DPP-2016-AUG-West-Phase3-Addendum_Public.pdf.pdf,
GI DPP 2017 AUG West Phase2 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC511211.pdf,DPP-2017-AUG,West,Phase2,DPP Phase 2 System Impact Study,2021-01-11,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,511211,GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:13.447103Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/511211_GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC.pdf.pdf,ok_cover_date,511211_GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC.pdf.pdf,
GI DPP 2019 Cycle1 MI Ph1 System Impact Study Final PUBLIC :: GI DPP 2019 Cycle1 MI SIS Phase 1Report-FINAL.pdf,https://cdn.misoenergy.org/GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC516686.zip,2019 Cycle 1,Michigan,Unknown,System Impact Study,2021-01-21,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,516686,GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.325276Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/516686_GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle1_MI_SIS_Phase_1Report-FINAL.pdf.pdf,ok_cover_date_zip,516686_GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle1_MI_SIS_Phase_1Report-FINAL.pdf.pdf,GI DPP 2019 Cycle1 MI SIS Phase 1Report-FINAL.pdf
GI DPP 2018 APR ATC Ph2 System Impact Study Final PUBLIC :: Final System Impact Study Report-DPP Apr 18 Phase 2_PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC444887.zip,DPP-2018-APR,ATC,Unknown,System Impact Study,2020-04-27,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,444887,GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.250206Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/444887_GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_2_PUBLIC.pdf.pdf,ok_cover_date_zip,444887_GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_2_PUBLIC.pdf.pdf,Final System Impact Study Report-DPP Apr 18 Phase 2_PUBLIC.pdf
GI DPP 2019 Cycle1 ATC Ph1 System Impact Study Final PUBLIC :: Final System Impact Study Report-DPP 2019 Cycle 1 Phase 1_20210121_PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC516961.zip,2019 Cycle 1,ATC,Unknown,System Impact Study,2021-01-21,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,516961,GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.209093Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/516961_GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_2019_Cycle_1_Phase_1_20210121_PUBLIC.pdf.pdf,ok_cover_date_zip,516961_GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_2019_Cycle_1_Phase_1_20210121_PUBLIC.pdf.pdf,Final System Impact Study Report-DPP 2019 Cycle 1 Phase 1_20210121_PUBLIC.pdf
GI DPP 2018 APR West Phase2 System Impact Report Public,https://cdn.misoenergy.org/GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public523356.pdf,DPP-2018-APR,West,Phase2,DPP Phase 2 System Impact Study,2021-02-16,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,523356,GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.873514Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/523356_GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public.pdf.pdf,ok_cover_date,523356_GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public.pdf.pdf,
GI DPP 2019 Cycle South Ph2 System Impact Study Final PUBLIC :: GI DPP 2019 Cycle 1 South SIS Phase 2 Report_Final.pdf,https://cdn.misoenergy.org/GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC526221.zip,2019 Cycle 1,South,Phase2,DPP Phase 2 System Impact Study,2021-02-25,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,526221,GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:12.612886Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/526221_GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle_1_South_SIS_Phase_2_Report_Final.pdf.pdf,ok_cover_date_zip,526221_GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle_1_South_SIS_Phase_2_Report_Final.pdf.pdf,GI DPP 2019 Cycle 1 South SIS Phase 2 Report_Final.pdf
DPP 2018 APR West Central SPP Phase2 Final Report Public,https://cdn.misoenergy.org/DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public523268.pdf,DPP-2018-APR,West,Phase2,DPP Phase 2 System Impact Study,2021-02-16,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,523268,DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.592747Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/523268_DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public.pdf.pdf,ok_cover_date,523268_DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public.pdf.pdf,
GI DPP 2019 West Phase1 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC528746.pdf,2019 Cycle 1,West,Phase1,DPP Phase 1 System Impact Study,2021-03-02,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,528746,GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.43807Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/528746_GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC.pdf.pdf,ok_cover_date,528746_GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC.pdf.pdf,
DPP 2017 FEB West Phase3 SPP AFS SIS Restudy Public,https://cdn.misoenergy.org/DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public530115.pdf,DPP-2017-FEB,West,Restudy,Restudy,2021-03-10,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,530115,DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.272669Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/530115_DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public.pdf.pdf,ok_cover_date,530115_DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public.pdf.pdf,
GI DPP 2018 APRIL Central SIS Phase II Report - R04,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20II%20Report%20-%20R04527785.pdf,DPP-2018-APR,Central,Phase2,DPP Phase 2 System Impact Study,2021-02-26,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,527785,GI DPP 2018 APRIL Central SIS Phase II Report - R04.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.106271Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/527785_GI_DPP_2018_APRIL_Central_SIS_Phase_II_Report_-_R04.pdf.pdf,ok_cover_date,527785_GI_DPP_2018_APRIL_Central_SIS_Phase_II_Report_-_R04.pdf.pdf,
GI DPP 2018 APR ATC Ph3 System Impact Study Final PUBLIC :: Final System Impact Study Report-DPP Apr 18 Phase 3_20210331_PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC538962.zip,DPP-2018-APR,ATC,Unknown,System Impact Study,2021-03-31,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,538962,GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.899158Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/538962_GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_3_20210331_PUBLIC.pdf.pdf,ok_cover_date_zip,538962_GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_Apr_18_Phase_3_20210331_PUBLIC.pdf.pdf,Final System Impact Study Report-DPP Apr 18 Phase 3_20210331_PUBLIC.pdf
GI DPP 2017 August West Phase3 SIS Report Final Public :: GI DPP 2017 August West SIS Phase 3 Final Report Public 210510.pdf,https://cdn.misoenergy.org/GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public552058.zip,DPP-2017-AUG,West,Phase3,DPP Phase 3 Final Study,2021-05-10,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,552058,GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.749528Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/552058_GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public.zip__GI_DPP_2017_August_West_SIS_Phase_3_Final_Report_Public_210510.pdf.pdf,ok_cover_date_zip,552058_GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public.zip__GI_DPP_2017_August_West_SIS_Phase_3_Final_Report_Public_210510.pdf.pdf,Public/GI DPP 2017 August West SIS Phase 3 Final Report Public 210510.pdf
GI DPP 2018 APRIL Central SIS Phase I Report - FINAL Rev2,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL%20Rev2408680.pdf,DPP-2018-APR,Central,Phase1,DPP Phase 1 System Impact Study,2019-12-11,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,408680,GI DPP 2018 APRIL Central SIS Phase I Report - FINAL Rev2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:08.076674Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/408680_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL_Rev2.pdf.pdf,ok_cover_date,408680_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL_Rev2.pdf.pdf,
GI DPP 2019 Cycle South Ph3 System Impact Study Final PUBLIC :: GI DPP 2019 Cycle 1 South SIS Phase 3 Report_Final.pdf,https://cdn.misoenergy.org/GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC620153.zip,2019 Cycle 1,South,Phase3,DPP Phase 3 Final Study,2021-11-18,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,620153,GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.553247Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/620153_GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle_1_South_SIS_Phase_3_Report_Final.pdf.pdf,ok_cover_date_zip,620153_GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle_1_South_SIS_Phase_3_Report_Final.pdf.pdf,GI DPP 2019 Cycle 1 South SIS Phase 3 Report_Final.pdf
GI DPP 2019 ATC Ph2 System Impact Study Final PUBLIC :: Final System Impact Study Report-DPP 2019 Cycle 1 Phase 2_PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC622921.zip,2019 Cycle 1,ATC,Unknown,System Impact Study,2022-02-14,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,622921,GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.166086Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/622921_GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_2019_Cycle_1_Phase_2_PUBLIC.pdf.pdf,ok_cover_date_zip,622921_GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip__Final_System_Impact_Study_Report-DPP_2019_Cycle_1_Phase_2_PUBLIC.pdf.pdf,Final System Impact Study Report-DPP 2019 Cycle 1 Phase 2_PUBLIC.pdf
GI DPP 2019 ITC Ph2 System Impact Study Final PUBLIC :: GI DPP 2019 Cycle2 MI SIS Phase 2_Report_03022022.pdf,https://cdn.misoenergy.org/GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC622899.zip,2019 Cycle 1,Michigan,Unknown,System Impact Study,2022-03-03,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,622899,GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.736755Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/622899_GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle2_MI_SIS_Phase_2_Report_03022022.pdf.pdf,ok_cover_date_zip,622899_GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle2_MI_SIS_Phase_2_Report_03022022.pdf.pdf,GI DPP 2019 Cycle2 MI SIS Phase 2_Report_03022022.pdf
GI DPP 2019 Central Phase II System Impact Study Report Final R03 :: GI DPP 2019 Central Phase II System Impact Study Report_Final_R03.pdf,https://cdn.misoenergy.org/GI%20DPP%202019%20Central%20Phase%20II%20System%20Impact%20Study%20Report_Final_R03623434.zip,2019 Cycle 1,Central,Phase2,DPP Phase 2 System Impact Study,2022-04-29,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,623434,GI DPP 2019 Central Phase II System Impact Study Report_Final_R03.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.398808Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/623434_GI_DPP_2019_Central_Phase_II_System_Impact_Study_Report_Final_R03.zip__GI_DPP_2019_Central_Phase_II_System_Impact_Study_Report_Final_R03.pdf.pdf,ok_cover_date_zip,623434_GI_DPP_2019_Central_Phase_II_System_Impact_Study_Report_Final_R03.zip__GI_DPP_2019_Central_Phase_II_System_Impact_Study_Report_Final_R03.pdf.pdf,GI DPP 2019 Central Phase II System Impact Study Report_Final_R03.pdf
GI DPP 2018 Apr West Phase3 System Impact Study Final 210614 Public,https://cdn.misoenergy.org/GI-DPP-2018-Apr-West-Phase3_System%20Impact%20Study_Final_210614_Public589572.pdf,DPP-2018-APR,West,Phase3,DPP Phase 3 Final Study,2021-06-14,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,589572,GI-DPP-2018-Apr-West-Phase3_System Impact Study_Final_210614_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:14.234008Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/589572_GI-DPP-2018-Apr-West-Phase3_System_Impact_Study_Final_210614_Public.pdf.pdf,ok_cover_date,589572_GI-DPP-2018-Apr-West-Phase3_System_Impact_Study_Final_210614_Public.pdf.pdf,
GI DPP 2017 FEB Central SIS Phase III FINAL Report v2,https://cdn.misoenergy.org/GI-DPP-2017-FEB-Central_SIS_Phase_III_FINAL_Report_v2293965.pdf,DPP-2017-FEB,Central,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,293965,GI-DPP-2017-FEB-Central_SIS_Phase_III_FINAL_Report_v2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:55.186323Z,False,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/293965_GI-DPP-2017-FEB-Central_SIS_Phase_III_FINAL_Report_v2.pdf.pdf,fetched_cover_no_date,,
GI DPP 2018 APR West Phase1 System Impact Report Public Rev,https://cdn.misoenergy.org/GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev437652.pdf,DPP-2018-APR,West,Phase1,DPP Phase 1 System Impact Study,2020-03-04,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,437652,GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:54.983932Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/437652_GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev.pdf.pdf,ok_cover_date,437652_GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev.pdf.pdf,
GI DPP 2016 FEB West Final SIS Addendum Public,https://cdn.misoenergy.org/GI_DPP_2016_FEB_West_Final_SIS_Addendum_Public315940.pdf,DPP-2016-FEB,West,Unknown,Addendum,2018-06-26,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,315940,GI_DPP_2016_FEB_West_Final_SIS_Addendum_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:53.100786Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/315940_GI_DPP_2016_FEB_West_Final_SIS_Addendum_Public.pdf.pdf,ok_cover_date,315940_GI_DPP_2016_FEB_West_Final_SIS_Addendum_Public.pdf.pdf,
GI DPP 2017 FEB West Phase2 System Impact Report Public,https://cdn.misoenergy.org/GI-DPP_2017-FEB-West_Phase2_System_Impact_Report_Public366110.pdf,DPP-2017-FEB,West,Phase2,DPP Phase 2 System Impact Study,2019-07-19,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,366110,GI-DPP_2017-FEB-West_Phase2_System_Impact_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:52.681071Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/366110_GI-DPP_2017-FEB-West_Phase2_System_Impact_Report_Public.pdf.pdf,ok_cover_date,366110_GI-DPP_2017-FEB-West_Phase2_System_Impact_Report_Public.pdf.pdf,
