document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible
GI DPP 2016 FEB West Phase1 Final Public,https://cdn.misoenergy.org/GI-DPP-2016_FEB_West-Phase1-Final-Public394325.pdf,DPP-2016-FEB,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394325,GI-DPP-2016_FEB_West-Phase1-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.73657Z,False
GI DPP 2018 APR MI Ph1 System Impact Study V2 Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC392816.zip,DPP-2018-APR,Michigan,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,392816,GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:01:28.593619Z,False
GI DPP 2018 APRIL Central SIS Phase I Report - FINAL,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL404614.pdf,DPP-2018-APR,Central,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,404614,GI DPP 2018 APRIL Central SIS Phase I Report - FINAL.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.25595Z,False
GI DPP 2017 AUG Central Phase III System Impact Study FINAL Rev2,https://cdn.misoenergy.org/GI-DPP-2017-AUG-Central-Phase_III_System_Impact_Study_FINAL_Rev2366402.pdf,DPP-2017-AUG,Central,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,366402,GI-DPP-2017-AUG-Central-Phase_III_System_Impact_Study_FINAL_Rev2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:27.290832Z,False
GI DPP 2018 APR South Phase1 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-South-Phase1_System_Impact_Study_Final_Rev1_PUBLIC372593.zip,DPP-2018-APR,South,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,372593,GI-DPP-2018-APR-South-Phase1_System_Impact_Study_Final_Rev1_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:01:27.099601Z,False
GI DPP 2017 AUG West Phase1 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC388157.pdf,DPP-2017-AUG,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,388157,GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:26.839656Z,False
GI DPP 2018 APR South Ph2 System Impact Study Final Rev2 PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-South-Ph2_System_Impact_Study_Final_rev2_PUBLIC414340.zip,DPP-2018-APR,South,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,414340,GI-DPP-2018-APR-South-Ph2_System_Impact_Study_Final_rev2_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:15.228359Z,False
GI DPP 2017 AUG MI Ph3 System Impact Study Rev4 Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-MI-Ph3_System_Impact_Study_Rev4_Final_PUBLIC371729.zip,DPP-2017-AUG,Michigan,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,371729,GI-DPP-2017-AUG-MI-Ph3_System_Impact_Study_Rev4_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:14.950034Z,False
GI DPP 2016 AUG West Area Restudy SIS Addendum Public,https://cdn.misoenergy.org/GI%20DPP%202016%20AUG%20West%20Area%20Restudy%20SIS%20Addendum%20Public429301.pdf,DPP-2016-AUG,West,Restudy,Restudy;Addendum,,,optics_api_processstage,2026-09-05T05:53:28Z,429301,GI DPP 2016 AUG West Area Restudy SIS Addendum Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.604749Z,False
GI DPP 2016 FEB West Area SIS Second Addendum Public Final,https://cdn.misoenergy.org/GI%20DPP%202016%20FEB%20West%20Area%20SIS%20Second%20Addendum%20Public%20Final429588.pdf,DPP-2016-FEB,West,Unknown,Addendum,,,optics_api_processstage,2026-09-05T05:53:28Z,429588,GI DPP 2016 FEB West Area SIS Second Addendum Public Final.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.345873Z,False
GI DPP 2018 APR West Phase1 System Impact Report Public,https://cdn.misoenergy.org/GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public433420.pdf,DPP-2018-APR,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,433420,GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.174993Z,False
GI DPP 2018 APR MI Ph2 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC452097.zip,DPP-2018-APR,Michigan,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,452097,GI-DPP-2018-APR-MI-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:14.144224Z,False
GI DPP 2019 Cycle1 South Ph1 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-Cycle1-South-Ph1_System_Impact_Study_Final_PUBLIC464836.zip,2019 Cycle 1,South,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,464836,GI-DPP-2019-Cycle1-South-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.984366Z,False
