project_key,start_date,stop_date,withdrawal_event,operation_event,queue_age_months,log1p_capacity_mw,technology_primary,is_hybrid,state_code,months_until_service,service_date_passed,capacity_change_pct,service_date_shift_months,years_since_last_change,other_active_projects_same_state,other_active_mw_same_state,other_active_projects_same_poi,other_active_mw_same_poi,other_active_mw_same_technology,prior_12m_withdrawal_count,prior_12m_withdrawn_mw,years_in_queue,study_phase,service_type,capacity_mw
P::J894,2025-12-31,2026-03-01,0,0,102.50513347022587,3.828641396489095,solar,0,AR,-68.99383983572895,1,0.0,,,142.0,33337.98,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,ERIS,45.0
P::J894,2026-03-01,2027-03-01,0,0,104.47638603696099,3.828641396489095,solar,0,AR,,0,0.0,,,75.0,18497.1,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,ERIS,45.0
P::J895,2020-12-31,2021-12-31,0,0,,3.5263605246161616,solar,0,AR,-9.00205338809035,1,,,,25.0,3292.0,0.0,0.0,66428.8,1781,358269.28,,,,33.0
P::J895,2021-12-31,2022-12-31,0,0,54.50513347022587,3.5263605246161616,solar,0,AR,-20.993839835728952,1,0.0,0.0,,71.0,15351.0,0.0,0.0,118328.8,2059,399153.61,4.542094455852156,,ERIS,33.0
P::J895,2022-12-31,2023-12-31,0,0,66.49691991786447,3.5263605246161616,solar,0,AR,-32.98562628336756,1,0.0,0.0,,204.0,45340.0,0.0,0.0,228129.8,205,53410.8,5.541409993155373,,ERIS,33.0
P::J895,2023-12-31,2024-12-31,0,0,78.48870636550308,3.5263605246161616,solar,0,AR,-44.97741273100616,1,0.0,0.0,,191.0,37224.0,0.0,0.0,189144.8,437,89321.64,6.54072553045859,IA Executed,ERIS,33.0
P::J895,2024-12-31,2025-12-31,0,0,,3.5263605246161616,solar,0,AR,,0,0.0,,,253.0,54097.1,0.0,0.0,241888.03,2331,440790.32,,IA Executed,ERIS,33.0
P::J895,2025-12-31,2026-03-01,0,0,102.50513347022587,3.5263605246161616,solar,0,AR,-68.99383983572895,1,0.0,,,142.0,33337.98,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,ERIS,33.0
P::J895,2026-03-01,2027-03-01,0,0,104.47638603696099,3.5263605246161616,solar,0,AR,,0,0.0,,,75.0,18497.1,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,ERIS,33.0
P::J896,2020-12-31,2021-12-31,0,0,,5.017279836814924,wind_onshore,0,IA,-14.55441478439425,1,,,,48.0,7676.4,0.0,0.0,17866.6,1781,358269.28,,,,150.0
P::J896,2021-12-31,2022-12-31,0,0,54.50513347022587,5.017279836814924,wind_onshore,0,IA,-26.546201232032853,1,0.0,0.0,,64.0,9726.4,0.0,0.0,21851.6,2059,399153.61,4.542094455852156,,NRIS,150.0
P::J896,2022-12-31,2023-12-31,0,0,66.49691991786447,5.017279836814924,wind_onshore,0,IA,-38.53798767967146,1,0.0,0.0,,103.0,17512.4,0.0,0.0,32822.2,205,53410.8,5.541409993155373,,NRIS,150.0
P::J896,2023-12-31,2024-12-31,0,0,78.48870636550308,5.017279836814924,wind_onshore,0,IA,-50.52977412731006,1,0.0,0.0,,97.0,15410.4,0.0,0.0,31412.6,437,89321.64,6.54072553045859,Facility Study,NRIS,150.0
P::J896,2024-12-31,2025-12-31,0,0,,5.017279836814924,wind_onshore,0,IA,,0,0.0,,,131.0,21913.0,0.0,0.0,52488.84,2331,440790.32,,Cluster Study,NRIS,150.0
P::J896,2025-12-31,2026-03-01,0,0,102.50513347022587,5.017279836814924,wind_onshore,0,IA,-74.54620123203286,1,0.0,,,120.0,23669.94,0.0,0.0,45562.49,1139,222351.24,8.542094455852157,IA Executed,NRIS,150.0
P::J896,2026-03-01,2027-03-01,0,0,104.47638603696099,5.017279836814924,wind_onshore,0,IA,,0,0.0,,,72.0,14629.54,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,NRIS,150.0
P::J897,2020-12-31,2021-12-31,0,0,42.51334702258727,5.25227342804663,wind_onshore,0,ND,9.00205338809035,0,,,,16.0,3610.0,0.0,0.0,17676.6,1781,358269.28,3.542778918548939,In Progress,,190.0
P::J897,2021-12-31,2022-12-31,0,0,54.50513347022587,5.25227342804663,wind_onshore,0,ND,-2.9897330595482545,1,0.0,0.0,,19.0,3613.0,0.0,0.0,21661.6,2059,399153.61,4.542094455852156,,ERIS,190.0
P::J897,2022-12-31,2023-07-17,1,0,66.49691991786447,5.25227342804663,wind_onshore,0,ND,-14.981519507186858,1,0.0,0.0,,33.0,7945.0,0.0,0.0,32632.199999999997,205,53410.8,5.541409993155373,,ERIS,190.0
P::J897,2023-12-31,2024-12-31,0,0,78.48870636550308,5.25227342804663,wind_onshore,0,ND,-26.973305954825463,1,0.0,0.0,0.0,29.0,7070.0,0.0,0.0,31412.6,437,89321.64,6.54072553045859,Facility Study,ERIS,190.0
P::J897,2024-12-31,2025-12-31,0,0,,5.25227342804663,wind_onshore,0,ND,,0,0.0,,1.002053388090349,36.0,8482.0,0.0,0.0,52488.84,2331,440790.32,,IA Executed,ERIS,190.0
P::J897,2025-12-31,2026-03-01,0,0,102.50513347022587,5.25227342804663,wind_onshore,0,ND,-14.981519507186858,1,0.0,,2.001368925393566,23.0,4844.94,0.0,0.0,45562.49,1139,222351.24,8.542094455852157,IA Executed,ERIS,190.0
P::J897,2026-03-01,2027-03-01,0,0,104.47638603696099,5.25227342804663,wind_onshore,0,ND,-16.95277207392197,1,0.0,0.0,2.1656399726214923,15.0,2625.0,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,ERIS,190.0
P::J898,2020-12-31,2021-10-01,0,1,42.51334702258727,4.61512051684126,wind_onshore,0,IA,9.00205338809035,0,,,,47.0,7576.4,0.0,0.0,17766.6,1781,358269.28,3.542778918548939,In Progress,,100.0
P::J898,2021-12-31,2022-12-31,0,0,54.50513347022587,4.61512051684126,wind_onshore,0,IA,-2.9897330595482545,1,0.0,0.0,,63.0,9626.4,0.0,0.0,21751.6,2059,399153.61,4.542094455852156,,ERIS,100.0
P::J898,2022-12-31,2023-12-31,0,0,66.49691991786447,4.61512051684126,wind_onshore,0,IA,-14.981519507186858,1,0.0,0.0,,102.0,17412.4,0.0,0.0,32722.199999999997,205,53410.8,5.541409993155373,,ERIS,100.0
P::J898,2023-12-31,2024-12-31,0,0,78.48870636550308,4.61512051684126,wind_onshore,0,IA,-26.973305954825463,1,0.0,0.0,,96.0,15310.4,0.0,0.0,31312.6,437,89321.64,6.54072553045859,IA Executed,ERIS,100.0
P::J898,2024-12-31,2025-12-31,0,0,,4.61512051684126,wind_onshore,0,IA,,0,0.0,,,130.0,21813.0,0.0,0.0,52388.84,2331,440790.32,,IA Executed,ERIS,100.0
P::J898,2025-12-31,2026-03-01,0,0,102.50513347022587,4.61512051684126,wind_onshore,0,IA,-25.034907597535934,1,0.0,,,119.0,23569.94,0.0,0.0,45462.49,1139,222351.24,8.542094455852157,Construction,ERIS,100.0
P::J898,2026-03-01,2027-03-01,0,0,104.47638603696099,4.61512051684126,wind_onshore,0,IA,-27.006160164271048,1,0.0,0.0,0.0,72.0,14629.54,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,ERIS,100.0
P::J899,2020-12-31,2021-12-31,0,0,,5.198497031265826,wind_onshore,0,AR,-14.55441478439425,1,,,,25.0,3292.0,0.0,0.0,17866.6,1781,358269.28,,,,180.0
P::J899,2021-12-31,2022-12-31,0,0,54.50513347022587,5.198497031265826,wind_onshore,0,AR,-26.546201232032853,1,0.0,0.0,,71.0,15351.0,0.0,0.0,21851.6,2059,399153.61,4.542094455852156,,NRIS,180.0
P::J899,2022-12-31,2023-12-31,0,0,66.49691991786447,5.198497031265826,wind_onshore,0,AR,-38.53798767967146,1,0.0,0.0,,204.0,45340.0,0.0,0.0,32822.2,205,53410.8,5.541409993155373,,NRIS,180.0
P::J899,2023-12-31,2024-12-31,0,0,78.48870636550308,5.198497031265826,wind_onshore,0,AR,-50.52977412731006,1,0.0,0.0,,191.0,37224.0,0.0,0.0,31412.6,437,89321.64,6.54072553045859,IA Executed,NRIS,180.0
P::J899,2024-12-31,2025-12-31,0,0,,5.198497031265826,wind_onshore,0,AR,,0,0.0,,,253.0,54097.1,0.0,0.0,52488.84,2331,440790.32,,IA Executed,NRIS,180.0
P::J899,2025-12-31,2026-03-01,0,0,102.50513347022587,5.198497031265826,wind_onshore,0,AR,-74.54620123203286,1,0.0,,,142.0,33337.98,0.0,0.0,45562.49,1139,222351.24,8.542094455852157,IA Executed,NRIS,180.0
P::J899,2026-03-01,2027-03-01,0,0,104.47638603696099,5.198497031265826,wind_onshore,0,AR,,0,0.0,,,75.0,18497.1,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,NRIS,180.0
P::J900,2020-12-31,2021-12-31,0,0,,5.303304908059076,solar,0,LA,-3.515400410677618,1,,,,49.0,7742.0,0.0,0.0,66428.8,1781,358269.28,,,,200.0
P::J900,2021-12-31,2022-12-31,0,0,54.50513347022587,5.303304908059076,solar,0,LA,-15.507186858316222,1,0.0,0.0,,91.0,15078.0,0.0,0.0,118328.8,2059,399153.61,4.542094455852156,,NRIS,200.0
P::J900,2022-12-31,2023-12-31,0,0,66.49691991786447,5.303304908059076,solar,0,LA,-27.498973305954827,1,0.0,0.0,,205.0,37906.0,0.0,0.0,228129.8,205,53410.8,5.541409993155373,,NRIS,200.0
P::J900,2023-12-31,2024-12-31,0,0,78.48870636550308,5.303304908059076,solar,0,LA,-39.49075975359343,1,0.0,0.0,,206.0,34221.0,0.0,0.0,189144.8,437,89321.64,6.54072553045859,IA Executed,NRIS,200.0
