step,train_loss,val_loss,val_mae
0.0,3.544422572309321,12.09597110748291,12.09597110748291
1.0,3.526685736396096,12.14737319946289,12.14737319946289
2.0,3.378184872256084,12.151606559753418,12.151606559753418
3.0,3.623615774241361,12.16384220123291,12.16384220123291
4.0,3.5036979263479058,12.169217109680176,12.169217109680176
5.0,3.4078457897359673,12.212538719177246,12.212538719177246
6.0,3.3154319402846424,12.220295906066895,12.220295906066895
7.0,3.534673734144731,12.220970153808594,12.220970153808594
8.0,3.259868713942441,12.235526084899902,12.235526084899902
9.0,3.9401774514805186,12.289018630981445,12.289018630981445
10.0,3.2275088266892866,12.330387115478516,12.330387115478516
11.0,3.0690994262695312,12.326590538024902,12.326590538024902
12.0,3.3460838252847847,12.29994010925293,12.29994010925293
13.0,2.7881065823815088,12.2335786819458,12.2335786819458
14.0,2.4689002470536665,12.26543140411377,12.26543140411377
15.0,2.0537889193404806,12.173738479614258,12.173738479614258
16.0,2.072576246478341,12.3622407913208,12.3622407913208
