step,train_loss,val_loss,train_mae,val_mae
0.0,0.425181258227857,12.053130833244742,0.425181258227857,12.053130833244742
1.0,0.42424469966351414,12.046071959435343,0.42424469966351414,12.046071959435343
2.0,0.4229456038889982,12.046071906242311,0.4229456038889982,12.046071906242311
3.0,0.42294560168455203,12.046071869479986,0.42294560168455203,12.046071869479986
4.0,0.4211474126753394,12.046071824500233,0.4211474126753394,12.046071824500233
5.0,0.41878487193124,12.046071783079562,0.41878487193124,12.046071783079562
6.0,0.4179921692947242,12.046071744820422,0.4179921692947242,12.046071744820422
7.0,0.4179287517941639,12.046071709677294,0.4179287517941639,12.046071709677294
8.0,0.4163484221231303,12.046071677575064,0.4163484221231303,12.046071677575064
9.0,0.4163484203252166,12.046071647901611,0.4163484203252166,12.046071647901611
10.0,0.4162947437495675,12.046071620495699,0.4162947437495675,12.046071620495699
11.0,0.41495285840308427,12.046071596721044,0.41495285840308427,12.046071596721044
12.0,0.41495285713999813,12.04594751108285,0.41495285713999813,12.04594751108285
13.0,0.4148924460204372,12.045833355385646,0.4148924460204372,12.045833355385646
14.0,0.4148888107499921,12.0458333356087,0.4148888107499921,12.0458333356087
15.0,0.4148837361860823,12.045951067878185,0.4148837361860823,12.045951067878185
16.0,0.41488039177918123,12.045959451758035,0.41488039177918123,12.045959451758035
17.0,0.4148419384171303,12.046223761645441,0.4148419384171303,12.046223761645441
18.0,0.4144794000886415,12.046490384887909,0.4144794000886415,12.046490384887909
19.0,0.4132268211731248,12.043425244039753,0.4132268211731248,12.043425244039753
20.0,0.4132118255143178,12.043406404494679,0.4132118255143178,12.043406404494679
21.0,0.4131980295598647,12.043389064942382,0.4131980295598647,12.043389064942382
22.0,0.41319802912073683,12.04338905501197,0.41319802912073683,12.04338905501197
23.0,0.4120755993933129,12.04338904502127,0.4120755993933129,12.04338904502127
24.0,0.4120629070149309,12.04337309506487,0.4120629070149309,12.04337309506487
25.0,0.41205123013303085,12.043358430249622,0.41205123013303085,12.043358430249622
26.0,0.41205122940127487,12.043508874229014,0.41205122940127487,12.043508874229014
27.0,0.4114765688240364,12.043508866136394,0.4114765688240364,12.043508866136394
28.0,0.4114734923745282,12.043508859763568,0.4114734923745282,12.043508859763568
29.0,0.41144057371995024,12.043508853615764,0.41144057371995024,12.043508853615764
30.0,0.4114405736577431,12.043508852129108,0.4114405736577431,12.043508852129108
31.0,0.411412399705737,12.043508846405024,0.411412399705737,12.043508846405024
32.0,0.41140251634682984,12.043496437124594,0.41140251634682984,12.043496437124594
33.0,0.4108861989075716,12.043496433271175,0.4108861989075716,12.043496433271175
34.0,0.410398816653612,12.04349642919147,0.410398816653612,12.04349642919147
35.0,0.40947392660914433,12.043542980902247,0.40947392660914433,12.043542980902247
36.0,0.40829784584021905,12.0454872514363,0.40829784584021905,12.0454872514363
37.0,0.4082978454665918,12.045487250964198,0.4082978454665918,12.045487250964198
38.0,0.40829784534966934,12.045487248326925,0.40829784534966934,12.045487248326925
39.0,0.4082763946534559,12.045487276693464,0.4082763946534559,12.045487276693464
40.0,0.40827639455664444,12.04548727481324,0.40827639455664444,12.04548727481324
41.0,0.40819231595007066,12.04546714331873,0.40819231595007066,12.04546714331873
42.0,0.4081923158681295,12.04546714119923,0.4081923158681295,12.04546714119923
43.0,0.4081849443986616,12.045457886107396,0.4081849443986616,12.045457886107396
44.0,0.40818494388146564,12.045507463186361,0.40818494388146564,12.045507463186361
45.0,0.4077458029673009,12.045507458356274,0.4077458029673009,12.045507458356274
46.0,0.4077435991638402,12.045501920292173,0.4077435991638402,12.045501920292173
47.0,0.4077435985367062,12.045593146234761,0.4077435985367062,12.045593146234761
48.0,0.40773417097247616,12.045588051110373,0.40773417097247616,12.045588051110373
49.0,0.4077110102238869,12.04557993810478,0.4077110102238869,12.04557993810478
50.0,0.40765887120978755,12.045562139736465,0.40765887120978755,12.045562139736465
51.0,0.40764212973316843,12.04573973435582,0.40764212973316843,12.04573973435582
52.0,0.407626045499003,12.045935795702754,0.407626045499003,12.045935795702754
53.0,0.4068980188706959,12.04593580134451,0.4068980188706959,12.04593580134451
54.0,0.40689671525962356,12.045919432987297,0.40689671525962356,12.045919432987297
55.0,0.4068928007905876,12.045919435729726,0.4068928007905876,12.045919435729726
56.0,0.4068142192088191,12.045911967830532,0.4068142192088191,12.045911967830532
57.0,0.4068142192097994,12.04591197371569,0.4068142192097994,12.04591197371569
58.0,0.40681138821607316,12.04591198985004,0.40681138821607316,12.04591198985004
59.0,0.4067430198396094,12.045562956017998,0.4067430198396094,12.045562956017998
60.0,0.40674301964031356,12.045562982796692,0.40674301964031356,12.045562982796692
61.0,0.4067430205086411,12.04556298317956,0.4067430205086411,12.04556298317956
62.0,0.4067430210890997,12.045562990881361,0.4067430210890997,12.045562990881361
63.0,0.4067415697665474,12.045559359558569,0.4067415697665474,12.045559359558569
64.0,0.4067415719727562,12.04555940334735,0.4067415719727562,12.04555940334735
65.0,0.40674157307966474,12.045559428064587,0.40674157307966474,12.045559428064587
66.0,0.40633545933742304,12.045559425845836,0.40633545933742304,12.045559425845836
67.0,0.4063354608695612,12.045559436386036,0.4063354608695612,12.045559436386036
68.0,0.40633545939925886,12.045559436454388,0.40633545939925886,12.045559436454388
69.0,0.40633176816293604,12.045559457393674,0.40633176816293604,12.045559457393674
70.0,0.4063183650952028,12.045565502033469,0.4063183650952028,12.045565502033469
71.0,0.40631836590895687,12.045565534050011,0.40631836590895687,12.045565534050011
72.0,0.4063094590342902,12.045554471228499,0.4063094590342902,12.045554471228499
73.0,0.40629799398272026,12.045554466796693,0.40629799398272026,12.045554466796693
74.0,0.4060963470157648,12.04524658209358,0.4060963470157648,12.04524658209358
75.0,0.40608212496685203,12.045246585824705,0.40608212496685203,12.045246585824705
76.0,0.4008278393090904,12.045246561845756,0.4008278393090904,12.045246561845756
77.0,0.40082604921451803,12.045242091817581,0.40082604921451803,12.045242091817581
78.0,0.40079727506274254,12.045242120525332,0.40079727506274254,12.045242120525332
79.0,0.40078881158316154,12.045272377322624,0.40078881158316154,12.045272377322624
80.0,0.4007864682652622,12.045270572994804,0.4007864682652622,12.045270572994804
81.0,0.40037908112775566,12.045270548718356,0.40037908112775566,12.045270548718356
82.0,0.40037908266365996,12.045270536864585,0.40037908266365996,12.045270536864585
83.0,0.3997326488622226,12.04527056896451,0.3997326488622226,12.04527056896451
84.0,0.39935330305420924,12.045270538015197,0.39935330305420924,12.045270538015197
85.0,0.39929492445391823,12.045185507192794,0.39929492445391823,12.045185507192794
86.0,0.39907628783547117,12.045190639685625,0.39907628783547117,12.045190639685625
87.0,0.39907416506068605,12.045190618371455,0.39907416506068605,12.045190618371455
88.0,0.3990618266105609,12.045190630016334,0.3990618266105609,12.045190630016334
89.0,0.399050421816256,12.045195617584582,0.399050421816256,12.045195617584582
90.0,0.3990156465747351,12.045195642432134,0.3990156465747351,12.045195642432134
91.0,0.39900657220505026,12.045195454441451,0.39900657220505026,12.045195454441451
92.0,0.39900652503528655,12.045195312378167,0.39900652503528655,12.045195312378167
93.0,0.39900652613728177,12.04519531678685,0.39900652613728177,12.04519531678685
94.0,0.39865266042793635,12.045195183079917,0.39865266042793635,12.045195183079917
95.0,0.3986493926757853,12.045194513131479,0.3986493926757853,12.045194513131479
96.0,0.3980272884736107,12.044429107095572,0.3980272884736107,12.044429107095572
97.0,0.397397944746652,12.044428993450822,0.397397944746652,12.044428993450822
98.0,0.3971005849180284,12.044429019659068,0.3971005849180284,12.044429019659068
99.0,0.3970693702630704,12.044428914182213,0.3970693702630704,12.044428914182213
100.0,0.3969853395768734,12.044428890734093,0.3969853395768734,12.044428890734093
101.0,0.396981890368882,12.044386414758376,0.396981890368882,12.044386414758376
102.0,0.39646604046902467,12.044396862190373,0.39646604046902467,12.044396862190373
103.0,0.39646568035095414,12.044395938287039,0.39646568035095414,12.044395938287039
104.0,0.39646210351031197,12.044395912289499,0.39646210351031197,12.044395912289499
105.0,0.3964588951837803,12.044396030401263,0.3964588951837803,12.044396030401263
106.0,0.39645825958290626,12.044394461422689,0.39645825958290626,12.044394461422689
107.0,0.3964582614791174,12.044394494687259,0.3964582614791174,12.044394494687259
108.0,0.3964509361164887,12.04439449742689,0.3964509361164887,12.04439449742689
109.0,0.3964509370637698,12.044394512664267,0.3964509370637698,12.044394512664267
110.0,0.39645093696432937,12.044394524423423,0.39645093696432937,12.044394524423423
111.0,0.3964509364254008,12.044394524223474,0.3964509364254008,12.044394524223474
112.0,0.39644066859625204,12.04439434465551,0.39644066859625204,12.04439434465551
113.0,0.39644024405662937,12.044393250662951,0.39644024405662937,12.044393250662951
114.0,0.39638030278406744,12.044393237515745,0.39638030278406744,12.044393237515745
115.0,0.39637852759453807,12.044393239405249,0.39637852759453807,12.044393239405249
