project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1176,J1176,J1176,exact_normalized_queue_id,1.0,accepted,145.0,145.0,0.0,False
P::J1177,J1177,J1177,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1178,J1178,J1178,exact_normalized_queue_id,1.0,accepted,65.0,65.0,0.0,False
P::J1179,J1179,J1179,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1180,J1180,J1180,exact_normalized_queue_id,1.0,accepted,75.0,75.0,0.0,False
P::J1181,J1181,J1181,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1182,J1182,J1182,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1183,J1183,J1183,exact_normalized_queue_id,1.0,accepted,1.35,1.35,0.0,False
P::J1184,J1184,J1184,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1185,J1185,J1185,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1186,J1186,J1186,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1187,J1187,J1187,exact_normalized_queue_id,1.0,accepted,151.8,151.8,0.0,False
P::J1188,J1188,J1188,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1189,J1189,J1189,exact_normalized_queue_id,1.0,accepted,5.0,5.0,0.0,False
P::J1190,J1190,J1190,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1191,J1191,J1191,exact_normalized_queue_id,1.0,accepted,64.0,64.0,0.0,False
P::J1192,J1192,J1192,exact_normalized_queue_id,1.0,accepted,35.0,35.0,0.0,False
P::J1193,J1193,J1193,exact_normalized_queue_id,1.0,accepted,103.1,103.1,0.0,False
P::J1194,J1194,J1194,exact_normalized_queue_id,1.0,accepted,225.2,225.2,0.0,False
P::J1195,J1195,J1195,exact_normalized_queue_id,1.0,accepted,150.4,150.4,0.0,False
P::J1196,J1196,J1196,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1197,J1197,J1197,exact_normalized_queue_id,1.0,accepted,75.0,75.0,0.0,False
P::J1198,J1198,J1198,exact_normalized_queue_id,0.9,accepted,51.8,51.8,0.0,False
P::J1199,J1199,J1199,exact_normalized_queue_id,0.9,accepted,20.0,20.0,0.0,False
P::J1200,J1200,J1200,exact_normalized_queue_id,0.9,accepted,24.2,24.2,0.0,False
P::J1201,J1201,J1201,exact_normalized_queue_id,0.9,accepted,44.2,44.2,0.0,False
P::J1202,J1202,J1202,exact_normalized_queue_id,0.9,accepted,68.4,68.4,0.0,False
P::J1203,J1203,J1203,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1204,J1204,J1204,exact_normalized_queue_id,1.0,accepted,199.3,199.3,0.0,False
P::J1205,J1205,J1205,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1206,J1206,J1206,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1207,J1207,J1207,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
