project_key,source_project_id,state_code,county_name,county_name_norm,matched_county_norm,county_fips,match_method,match_score,manual_review_status
P::J4183,J4183,,,,,,unmatched,0.0,needs_review
P::M::J4243,J4243,,,,,,unmatched,0.0,needs_review
P::M::J4229,J4229,,,,,,unmatched,0.0,needs_review
P::M::J4230,J4230,,,,,,unmatched,0.0,needs_review
P::M::J4231,J4231,,Pike,PIKE,,,unmatched,0.0,needs_review
P::M::J4232,J4232,,,,,,unmatched,0.0,needs_review
P::M::J4233,J4233,,,,,,unmatched,0.0,needs_review
P::M::J4234,J4234,,,,,,unmatched,0.0,needs_review
P::M::J4235,J4235,,Linn,LINN,,,unmatched,0.0,needs_review
P::M::J4236,J4236,,,,,,unmatched,0.0,needs_review
P::M::J4237,J4237,,,,,,unmatched,0.0,needs_review
P::M::J4238,J4238,,,,,,unmatched,0.0,needs_review
P::M::J4239,J4239,,,,,,unmatched,0.0,needs_review
P::M::J4240,J4240,,Grant,GRANT,,,unmatched,0.0,needs_review
P::M::J4241,J4241,,St. Charles,SAINT CHARLES,,,unmatched,0.0,needs_review
P::M::J4242,J4242,,,,,,unmatched,0.0,needs_review
P::M::J4261,J4261,,,,,,unmatched,0.0,needs_review
P::S1002,S1002,MI,,,,,unmatched,0.0,needs_review
P::M::J4146,J4146,,,,,,unmatched,0.0,needs_review
P::M::S1136,S1136,MI,,,,,unmatched,0.0,needs_review
P::M::S1137,S1137,LA,,,,,unmatched,0.0,needs_review
P::M::S1133,S1133,LA,Sangamon,SANGAMON,,,unmatched,0.0,needs_review
P::M::S1139,S1139,MS,,,,,unmatched,0.0,needs_review
P::M::S1140,S1140,MN,Clinton,CLINTON,,,unmatched,0.0,needs_review
P::M::S1138,S1138,MI,,,,,unmatched,0.0,needs_review
P::M::S1087,S1087,,Clinton,CLINTON,,,unmatched,0.0,needs_review
P::M::S1130,S1130,MI,,,,,unmatched,0.0,needs_review
P::M::S1143,S1143,IL,,,,,unmatched,0.0,needs_review
P::M::S1155,S1155,MO,,,,,unmatched,0.0,needs_review
P::M::S1156,S1156,TX,,,,,unmatched,0.0,needs_review
P::M::S1157,S1157,TX,,,,,unmatched,0.0,needs_review
P::M::S1158,S1158,WI,Story,STORY,,,unmatched,0.0,needs_review
P::M::S1159,S1159,WI,,,,,unmatched,0.0,needs_review
P::M::S1160,S1160,SD,,,,,unmatched,0.0,needs_review
P::M::S1161,S1161,AR,,,,,unmatched,0.0,needs_review
P::M::S1162,S1162,AR,,,,,unmatched,0.0,needs_review
P::M::S1154,S1154,MN,,,,,unmatched,0.0,needs_review
P::M::S1144,S1144,MI,,,,,unmatched,0.0,needs_review
P::M::S1147,S1147,MI,,,,,unmatched,0.0,needs_review
P::M::S1149,S1149,IL,,,,,unmatched,0.0,needs_review
P::M::S1150,S1150,IL,,,,,unmatched,0.0,needs_review
P::M::S1152,S1152,MO,,,,,unmatched,0.0,needs_review
P::M::R1031,R1031,,,,,,unmatched,0.0,needs_review
P::M::R1032,R1032,,,,,,unmatched,0.0,needs_review
P::M::R1034,R1034,,,,,,unmatched,0.0,needs_review
P::M::R1035,R1035,,Massac,MASSAC,,,unmatched,0.0,needs_review
P::M::R1057,R1057,,Jefferson,JEFFERSON,,,unmatched,0.0,needs_review
P::M::R1030,R1030,,,,,,unmatched,0.0,needs_review
P::M::R1058,R1058,,Jefferson,JEFFERSON,,,unmatched,0.0,needs_review
P::M::R5061,R5061,,Sheboygan,SHEBOYGAN,,,unmatched,0.0,needs_review
P::M::R5068,R5068,,,,,,unmatched,0.0,needs_review
P::M::R5073,R5073,,,,,,unmatched,0.0,needs_review
P::M::R5074,R5074,,,,,,unmatched,0.0,needs_review
P::M::R5075,R5075,,,,,,unmatched,0.0,needs_review
P::M::R1060,R1060,,Green,GREEN,,,unmatched,0.0,needs_review
P::M::R1027,R1027,,Linn County,LINN,,,unmatched,0.0,needs_review
P::M::J4262,J4262,,Tazewell,TAZEWELL,,,unmatched,0.0,needs_review
P::M::R1008,R1008,,Adair,ADAIR,,,unmatched,0.0,needs_review
P::M::R1009,R1009,,Montmorency,MONTMORENCY,,,unmatched,0.0,needs_review
P::M::R1010,R1010,,Marathon,MARATHON,,,unmatched,0.0,needs_review
P::M::R1013,R1013,,Posey,POSEY,,,unmatched,0.0,needs_review
P::M::R1014,R1014,,,,,,unmatched,0.0,needs_review
P::M::R1017,R1017,,Des Moines,DES MOINES,,,unmatched,0.0,needs_review
P::M::R1028,R1028,,,,,,unmatched,0.0,needs_review
P::M::R1021,R1021,,Pike,PIKE,,,unmatched,0.0,needs_review
P::M::R1022,R1022,,Pike,PIKE,,,unmatched,0.0,needs_review
P::M::R1023,R1023,,Jackson,JACKSON,,,unmatched,0.0,needs_review
P::M::R1024,R1024,,Posey,POSEY,,,unmatched,0.0,needs_review
P::M::R1025,R1025,,Williamson,WILLIAMSON,,,unmatched,0.0,needs_review
P::M::R1026,R1026,,Linn County,LINN,,,unmatched,0.0,needs_review
P::M::R1020,R1020,,Linn,LINN,,,unmatched,0.0,needs_review
P::M::R5077,R5077,,,,,,unmatched,0.0,needs_review
P::M::R5078,R5078,,,,,,unmatched,0.0,needs_review
P::M::R5095,R5095,,,,,,unmatched,0.0,needs_review
P::M::R5096,R5096,,Mississippi,MISSISSIPPI,,,unmatched,0.0,needs_review
P::M::R5098,R5098,,,,,,unmatched,0.0,needs_review
P::M::R5099,R5099,,Liberty,LIBERTY,,,unmatched,0.0,needs_review
P::M::R5100,R5100,,Hot Spring,HOT SPRING,,,unmatched,0.0,needs_review
P::M::S1060,S1060,MI,Shiawasse,SHIAWASSE,SHIAWASSEE,26155,fuzzy_same_state,94.73684210526316,accepted_fuzzy
P::M::R5094,R5094,,,,,,unmatched,0.0,needs_review
P::M::R5079,R5079,,,,,,unmatched,0.0,needs_review
P::M::R5080,R5080,,,,,,unmatched,0.0,needs_review
P::M::R5082,R5082,,,,,,unmatched,0.0,needs_review
P::M::R5085,R5085,,,,,,unmatched,0.0,needs_review
P::M::R5089,R5089,,,,,,unmatched,0.0,needs_review
P::M::R5090,R5090,,,,,,unmatched,0.0,needs_review
P::M::R5091,R5091,,,,,,unmatched,0.0,needs_review
P::M::R5092,R5092,,Washington,WASHINGTON,,,unmatched,0.0,needs_review
P::J1080,J1080,IL,dewitt,DEWITT,DE WITT,17039,fuzzy_same_state,92.3076923076923,accepted_fuzzy
P::J3830,J3830,IL,,,,,unmatched,0.0,needs_review
P::J3087,J3087,TX,logan,LOGAN,,,unmatched,0.0,needs_review
P::J3086,J3086,TX,peoria,PEORIA,,,unmatched,0.0,needs_review
P::J2965,J2965,LA,ashley,ASHLEY,,,unmatched,0.0,needs_review
