step,epoch,train_loss,train_acc,val_loss,val_acc,val_pr_auc
0.0,0.0,1.1760910197951497,0.6017699115044248,1.0146327018737793,0.25570228091236497,0.03305105369804481
1.0,1.0,1.1181500589916682,0.591089411046689,1.111190676689148,0.24849939975990396,0.035491253463419026
2.0,2.0,1.0893580544311388,0.6063472688434544,0.8827940821647644,0.5726290516206483,0.03939343059014219
3.0,3.0,1.0425927964950576,0.606957583155325,0.8938642144203186,0.6050420168067226,0.042190931740275286
4.0,4.0,1.0404343004811636,0.6573085138846506,0.9847438931465149,0.4687875150060024,0.04274138283475255
5.0,5.0,1.001511721302541,0.6490692706743973,0.9998265504837036,0.5474189675870348,0.045137443508500505
6.0,6.0,0.9719161904909497,0.6505950564540739,1.0444612503051758,0.4765906362545018,0.04836085284611029
7.0,7.0,0.9878969092830348,0.6829417149832163,0.8562096953392029,0.6794717887154862,0.043543277184355356
8.0,8.0,0.9681313677753731,0.6396093988404028,1.063079833984375,0.5252100840336135,0.04205815593250374
9.0,9.0,0.9507915180996128,0.6603600854440037,1.1506781578063965,0.37755102040816324,0.049812426607020795
10.0,10.0,0.9352427572603084,0.6530363137015563,1.1032867431640625,0.5150060024009604,0.046033289992819824
11.0,11.0,0.9497175940224627,0.6829417149832163,1.030477523803711,0.3787515006002401,0.06215876476135844
12.0,12.0,0.916386778102912,0.6719560573695453,1.189383625984192,0.4969987995198079,0.0436068379249533
13.0,13.0,0.9098018073511808,0.6585291425083918,0.9915564656257629,0.5978391356542617,0.052944318958917845
14.0,14.0,0.8990499244654437,0.7021666158071407,1.0961980819702148,0.5768307322929171,0.04934223059780805
15.0,15.0,0.8669076932251435,0.6713457430576747,1.243715524673462,0.453781512605042,0.05224646154148408
16.0,16.0,0.9259296740050864,0.6811107720476045,0.9483969211578369,0.687875150060024,0.04406624984915792
17.0,17.0,0.8665107293830326,0.6841623436069576,1.1486420631408691,0.6218487394957983,0.042234601678193096
18.0,18.0,0.8855202858463307,0.728410131217577,1.0935217142105103,0.4723889555822329,0.055263832614820756
19.0,19.0,0.9024632039832603,0.6878242294781812,1.2091556787490845,0.33613445378151263,0.06068508176260556
20.0,20.0,0.8645719948395527,0.6957583155324992,1.0522385835647583,0.5102040816326531,0.07303823188943653
21.0,21.0,0.8353622241976205,0.7082697589258468,1.0606814622879028,0.6212484993997599,0.057739372611650706
22.0,22.0,0.865314734447719,0.7305462313091242,1.1463264226913452,0.4249699879951981,0.05488162343474824
23.0,23.0,0.9359042985722318,0.6432712847116265,0.954753041267395,0.49819927971188477,0.05804287804368041
24.0,24.0,0.8857299928844139,0.7168141592920354,1.1928927898406982,0.5726290516206483,0.04626988902507895
25.0,25.0,0.8213097337982369,0.7082697589258468,1.1508053541183472,0.5132052821128451,0.05896085880909302
26.0,26.0,0.8031486341383605,0.7488556606652426,1.0799291133880615,0.539015606242497,0.06274809598966993
27.0,27.0,0.8025756680750796,0.7149832163564236,1.0933667421340942,0.6350540216086434,0.05467589951952813
28.0,28.0,0.7990668726323907,0.7381751602075068,1.2203524112701416,0.4489795918367347,0.07068737992324511
29.0,29.0,0.7898858243239737,0.70155630149527,1.2053600549697876,0.48679471788715484,0.06357755760147339
30.0,30.0,0.752555518587588,0.744278303326213,1.2546513080596924,0.5276110444177671,0.05664018138131756
31.0,31.0,0.7399881432832724,0.7476350320415014,1.2459079027175903,0.556422569027611,0.054709086691509666
32.0,32.0,0.7375794263158152,0.7314617027769301,1.10817551612854,0.6638655462184874,0.05797526906253174
33.0,33.0,0.7582551694549291,0.7665547757094904,1.2311967611312866,0.5864345738295318,0.04529112773569604
34.0,34.0,0.7430429320019631,0.7192554165395179,1.1868410110473633,0.5642256902761105,0.06083326491384626
35.0,35.0,0.7786703343467084,0.7558742752517547,1.0919312238693237,0.7448979591836735,0.057639739085751415
36.0,36.0,0.7802451616894882,0.7723527616722612,1.2758253812789917,0.5822328931572629,0.056656279761306425
37.0,37.0,0.680808320764292,0.7812023191943851,1.3639734983444214,0.5396158463385354,0.05672789347642798
38.0,38.0,0.7220752979692686,0.7540433323161428,1.3042457103729248,0.6032412965186075,0.047308965991534
39.0,39.0,0.6690531634396811,0.7656393042416845,1.2701025009155273,0.5762304921968787,0.0552373487412033
40.0,40.0,0.6607654713478472,0.7918828196521208,1.2245380878448486,0.6830732292917167,0.052770457389603
41.0,41.0,0.6692840457144473,0.7461092462618248,1.2955468893051147,0.6938775510204082,0.05117573535155579
